good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID,item_id
The doctors see these waitresses that weren't disturbing Chad.,The doctors see who these waitresses weren't disturbing Chad.,syntax,filler_gap_dependency,wh_questions_subject_gap,304,97
Russell knows that the men that weren't descending the hills had disliked Steven.,Russell knows who the men that weren't descending the hills had disliked Steven.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,786,98
Randolf would realize that committees wouldn't discuss Sally.,Randolf would realize who committees wouldn't discuss Sally.,syntax,filler_gap_dependency,wh_vs_that_no_gap,414,99
Some customer has realized who this child that yawns liked.,Some customer has realized that this child that yawns liked.,syntax,filler_gap_dependency,wh_vs_that_with_gap_long_distance,809,100
Vincent has forgotten the boy that will criticize Carl.,Vincent has forgotten who the boy will criticize Carl.,syntax,filler_gap_dependency,wh_questions_subject_gap,748,101
Lissa questions every government that irritated Brian.,Lissa questions who every government irritated Brian.,syntax,filler_gap_dependency,wh_questions_subject_gap,412,102
Carl investigated an alumnus that escaped from Chad.,Carl investigated who an alumnus escaped from Chad.,syntax,filler_gap_dependency,wh_questions_subject_gap,283,103
Women discover the offspring that hadn't visited every mall.,Women discover what the offspring hadn't visited every mall.,syntax,filler_gap_dependency,wh_questions_subject_gap,854,104
The women forget who students sounded like.,The women forget that students sounded like.,syntax,filler_gap_dependency,wh_vs_that_with_gap,760,105
Some women remember that some patient that escapes toured malls.,Some women remember what some patient that escapes toured malls.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,750,106
Paul finds out that some synopsis that has explained everything criticizes Carol.,Paul finds out who some synopsis that has explained everything criticizes Carol.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,878,107
A patient finds out that the actress that didn't kiss Veronica returns to Bruce.,A patient finds out who the actress that didn't kiss Veronica returns to Bruce.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,110,108
Eva had thought about these grocery stores that Alan was driving to.,Eva had thought about what Alan was driving to these grocery stores.,syntax,filler_gap_dependency,wh_questions_object_gap,182,109
Alicia won't remember analyses that this man examined.,Alicia won't remember what this man examined analyses.,syntax,filler_gap_dependency,wh_questions_object_gap,390,110
Stacy finds out who these companies do listen to.,Stacy finds out that these companies do listen to.,syntax,filler_gap_dependency,wh_vs_that_with_gap,166,111
Some pedestrians figure out that most drivers describe Elizabeth.,Some pedestrians figure out who most drivers describe Elizabeth.,syntax,filler_gap_dependency,wh_vs_that_no_gap,325,112
Tina reveals that this guy had researched this committee.,Tina reveals what this guy had researched this committee.,syntax,filler_gap_dependency,wh_vs_that_no_gap,871,113
Ella remembered that most customers discuss Bruce.,Ella remembered who most customers discuss Bruce.,syntax,filler_gap_dependency,wh_vs_that_no_gap,348,114
Katherine found out that that cashier didn't sell some ice cream.,Katherine found out what that cashier didn't sell some ice cream.,syntax,filler_gap_dependency,wh_vs_that_no_gap,11,115
Kathleen shouldn't see those restaurants that had worried the cashier.,Kathleen shouldn't see who those restaurants had worried the cashier.,syntax,filler_gap_dependency,wh_questions_subject_gap,974,116
Heather might know what every window that exists resembled.,Heather might know that every window that exists resembled.,syntax,filler_gap_dependency,wh_vs_that_with_gap_long_distance,493,117
George isn't remembering who many men complain about.,George isn't remembering that many men complain about.,syntax,filler_gap_dependency,wh_vs_that_with_gap,852,118
Some committees weren't revealing what the pedestrian drops by.,Some committees weren't revealing that the pedestrian drops by.,syntax,filler_gap_dependency,wh_vs_that_with_gap,274,119
Theresa won't research some banks that adults aggravate that forgot some pedestrian.,Theresa won't research who some banks that adults aggravate forgot some pedestrian.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,165,120
Mary had left.,Mary had referenced.,syntax,argument_structure,drop_argument,608,121
Some person's tutor arrived at every library.,Some person's tutor nodded every library.,syntax,argument_structure,transitive,492,122
That lamp wasn't darkening.,That lamp wasn't buying.,syntax,argument_structure,inchoative,452,123
That cart had accelerated.,That cart had seen.,syntax,argument_structure,inchoative,566,124
A guy has criticized most daughters of Benjamin.,A guy has slumped over most daughters of Benjamin.,syntax,argument_structure,transitive,784,125
This mother of the Borgias wakes up.,This mother of the Borgias praised.,syntax,argument_structure,inchoative,847,126
Teresa's electricians weren't approached by Mary.,Teresa's electricians weren't responded by Mary.,syntax,argument_structure,passive_1,304,127
Becky paints.,Becky conceals.,syntax,argument_structure,intransitive,786,128
Kayla isn't worrying a lot of customers.,Kayla isn't cooking a lot of customers.,syntax,argument_structure,causative,414,129
Ellen could hide away.,Ellen could see.,syntax,argument_structure,inchoative,809,130
A lot of customers were aggravated by a lot of ladders.,A lot of customers were screamed by a lot of ladders.,syntax,argument_structure,passive_1,748,131
Dan's classmates aren't seen by the teacher's mothers.,Dan's classmates aren't struggled by the teacher's mothers.,syntax,argument_structure,passive_1,412,132
Richard's tutors weren't worried by current events.,Richard's tutors weren't smiled by current events.,syntax,argument_structure,passive_1,283,133
Margaret is remembered by Stephen's associates.,Margaret is shrugged by Stephen's associates.,syntax,argument_structure,passive_1,854,134
Omar's ex-girlfriend isn't hired.,Omar's ex-girlfriend isn't littered.,syntax,argument_structure,passive_2,760,135
Nieces of all men have hugged.,Nieces of all men have dropped by.,syntax,argument_structure,intransitive,750,136
The Clintons' sisters joke around.,The Clintons' sisters bike to.,syntax,argument_structure,intransitive,878,137
The Impressionists have changed.,The Impressionists have dropped by.,syntax,argument_structure,intransitive,110,138
A lot of waiters' best friend watches.,A lot of waiters' best friend references.,syntax,argument_structure,drop_argument,182,139
Barbara bought.,Barbara lifts.,syntax,argument_structure,drop_argument,390,140
Clyde's girlfriend isn't observed.,Clyde's girlfriend isn't murmured.,syntax,argument_structure,passive_2,166,141
Matt unfolded that blouse.,Matt existed that blouse.,syntax,argument_structure,causative,325,142
Lissa has opened the window.,Lissa has appeared the window.,syntax,argument_structure,causative,871,143
Ellen opened most doors.,Ellen appeared most doors.,syntax,argument_structure,causative,348,144
Rodney was moving Victoria.,Rodney was sighing Victoria.,syntax,argument_structure,causative,11,145
Marcus's nieces were referenced by an adult.,Marcus's nieces were conspired by an adult.,syntax,argument_structure,passive_1,974,146
All tomatoes can ripen.,All tomatoes can look like.,syntax,argument_structure,inchoative,493,147
A museum is upset.,A museum is interacted.,syntax,argument_structure,passive_2,852,148
Spain is visited.,Spain is profited.,syntax,argument_structure,passive_2,274,149
Liam should shock Joseph's supervisors.,Liam should shrug Joseph's supervisors.,syntax,argument_structure,transitive,165,150
That rabbit has found at least six mountains.,No rabbit has found at least six mountains.,semantics,quantifiers,superlative_quantifiers_2,918,151
That guest praised at least five stories.,No guest praised at least five stories.,semantics,quantifiers,superlative_quantifiers_2,896,152
All banks are there prodding Randolf to insult these schools.,There are all banks prodding Randolf to insult these schools.,semantics,quantifiers,existential_there_quantifiers_2,645,153
No man had toured more than five libraries.,No man had toured at least five libraries.,semantics,quantifiers,superlative_quantifiers_1,952,154
There isn't a river disappearing.,There isn't each river disappearing.,semantics,quantifiers,existential_there_quantifiers_1,735,155
No patient had scanned fewer than eight essays.,No patient had scanned at most eight essays.,semantics,quantifiers,superlative_quantifiers_1,255,156
There wasn't a company chatting.,There wasn't each company chatting.,semantics,quantifiers,existential_there_quantifiers_1,466,157
No scarf should look like fewer than ten drawings.,No scarf should look like at most ten drawings.,semantics,quantifiers,superlative_quantifiers_1,158,158
No guy was admiring more than two forks.,No guy was admiring at least two forks.,semantics,quantifiers,superlative_quantifiers_1,392,159
There is a pepper falling.,There is each pepper falling.,semantics,quantifiers,existential_there_quantifiers_1,105,160
There were some newspaper articles about Galileo disappearing.,There were all newspaper articles about Galileo disappearing.,semantics,quantifiers,existential_there_quantifiers_1,386,161
There were some eyes flinging open.,There were all eyes flinging open.,semantics,quantifiers,existential_there_quantifiers_1,667,162
There are no stories confusing Patricia.,There are most stories confusing Patricia.,semantics,quantifiers,existential_there_quantifiers_1,482,163
Every public park wasn't there embarrassing Veronica.,There wasn't every public park embarrassing Veronica.,semantics,quantifiers,existential_there_quantifiers_2,237,164
An adult can take at most four mountains.,No adult can take at most four mountains.,semantics,quantifiers,superlative_quantifiers_2,382,165
There is a vase appearing.,There is each vase appearing.,semantics,quantifiers,existential_there_quantifiers_1,463,166
Every school is there lying.,There is every school lying.,semantics,quantifiers,existential_there_quantifiers_2,699,167
There were some associations interacting.,There were all associations interacting.,semantics,quantifiers,existential_there_quantifiers_1,46,168
Each documentary about music is there astounding Stacey.,There is each documentary about music astounding Stacey.,semantics,quantifiers,existential_there_quantifiers_2,539,169
No person is discussing fewer than ten patients.,No person is discussing at most ten patients.,semantics,quantifiers,superlative_quantifiers_1,130,170
There was a niece of Gary hiding away.,There was each niece of Gary hiding away.,semantics,quantifiers,existential_there_quantifiers_1,850,171
Every patient had boycotted at most three malls.,No patient had boycotted at most three malls.,semantics,quantifiers,superlative_quantifiers_2,846,172
Every girl boasted about at most four waiters.,No girl boasted about at most four waiters.,semantics,quantifiers,superlative_quantifiers_2,359,173
No waitress visited fewer than three teenagers.,No waitress visited at most three teenagers.,semantics,quantifiers,superlative_quantifiers_1,106,174
A guest exited at most six museums.,No guest exited at most six museums.,semantics,quantifiers,superlative_quantifiers_2,341,175
Every senator toured at least eight hospitals.,No senator toured at least eight hospitals.,semantics,quantifiers,superlative_quantifiers_2,784,176
No actor explored fewer than eight high schools.,No actor explored at most eight high schools.,semantics,quantifiers,superlative_quantifiers_1,224,177
Some glass had bothered at most ten patients.,No glass had bothered at most ten patients.,semantics,quantifiers,superlative_quantifiers_2,750,178
No museum was describing more than five ladies.,No museum was describing at least five ladies.,semantics,quantifiers,superlative_quantifiers_1,108,179
No girl was arriving at more than two libraries.,No girl was arriving at at least two libraries.,semantics,quantifiers,superlative_quantifiers_1,750,180
Who aren't Natalie's electricians that criticized Carolyn's colleagues disturbing?,Who aren't Carolyn's colleagues disturbing Natalie's electricians that criticized?,syntax,island_effects,complex_NP_island,110,181
Who had the legislatures learned they won't watch?,Who had the legislatures learned who won't watch?,syntax,island_effects,wh_island,119,182
Amanda was boycotting whose malls?,Whose was Amanda boycotting malls?,syntax,island_effects,left_branch_island_echo_question,688,183
Dennis was passing whose closet?,Whose was Dennis passing closet?,syntax,island_effects,left_branch_island_echo_question,624,184
Brett is kissing which doctor?,Which is Brett kissing doctor?,syntax,island_effects,left_branch_island_echo_question,314,185
Who will some cashiers and this girl break?,Who could some cashiers break and this girl?,syntax,island_effects,coordinate_structure_constraint_object_extraction,946,186
Who hadn't Julie's grandfather that approached some son of Robert cured?,Who hadn't some son of Robert cured Julie's grandfather that approached?,syntax,island_effects,complex_NP_island,350,187
Which girls is the dress irritating and the Lutherans revealing?,Which is the dress irritating girls and the Lutherans revealing?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,8,188
Those waiters might pass whose hills?,Whose might those waiters pass hills?,syntax,island_effects,left_branch_island_echo_question,981,189
What hats might Monica bring and Sonia admire?,What might Monica bring hats and Sonia admire?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,192,190
Who don't grandfathers of Gary that have disgusted Robert's supervisors impress?,Who don't Robert's supervisors impress grandfathers of Gary that have disgusted?,syntax,island_effects,complex_NP_island,569,191
What doesn't Catherine know she would like?,What doesn't Catherine know who would like?,syntax,island_effects,wh_island,891,192
Who will Bill conceal he knows?,Who will Bill conceal who knows?,syntax,island_effects,wh_island,964,193
What malls has Ella biked to?,What has Ella biked to malls?,syntax,island_effects,left_branch_island_simple_question,217,194
Stacey can listen to which child?,Which can Stacey listen to child?,syntax,island_effects,left_branch_island_echo_question,980,195
Who have these turtles astounded without impressing Naomi?,Who have these turtles astounded Naomi without impressing?,syntax,island_effects,adjunct_island,157,196
Which waitress has Amy hired?,Which has Amy hired waitress?,syntax,island_effects,left_branch_island_simple_question,894,197
Lawrence can astound which museum?,Which can Lawrence astound museum?,syntax,island_effects,left_branch_island_echo_question,482,198
All waitresses should listen to what man?,What should all waitresses listen to man?,syntax,island_effects,left_branch_island_echo_question,545,199
Who had this sister of Stephen that isn't finding Charles talked to?,Who had Charles talked to this sister of Stephen that isn't finding?,syntax,island_effects,complex_NP_island,889,200
Who can Gary and Brad leave?,Who might Gary leave and Brad?,syntax,island_effects,coordinate_structure_constraint_object_extraction,579,201
Who do many actresses and all rivers resemble?,Who would many actresses resemble and all rivers?,syntax,island_effects,coordinate_structure_constraint_object_extraction,775,202
What is Derek ascending without noticing every ladder?,What is Derek ascending every ladder without noticing?,syntax,island_effects,adjunct_island,544,203
Who had Kristen's tutor that didn't admire Nancy's students cared for?,Who had Nancy's students cared for Kristen's tutor that didn't admire?,syntax,island_effects,complex_NP_island,994,204
Mark had observed what pedestrian?,What had Mark observed pedestrian?,syntax,island_effects,left_branch_island_echo_question,229,205
What would Diana and Barbara irritate?,What should Diana irritate and Barbara?,syntax,island_effects,coordinate_structure_constraint_object_extraction,580,206
Who has Colleen aggravated before kissing Judy?,Who has Colleen aggravated Judy before kissing?,syntax,island_effects,adjunct_island,3,207
Who are all women's discussing Elizabeth astounding.,Who are all women's discussing astounding Elizabeth.,syntax,island_effects,sentential_subject_island,728,208
What have Larry and Homer hired?,What had Larry hired and Homer?,syntax,island_effects,coordinate_structure_constraint_object_extraction,740,209
Who has Tonya learned she approaches?,Who has Tonya learned who approaches?,syntax,island_effects,wh_island,803,210
Tracy hadn't hugged Emily.,This sweater hadn't hugged Emily.,syntax,s-selection,animate_subject_trans,500,211
Most actors skated around this library.,Many reports skated around this library.,syntax,s-selection,animate_subject_trans,391,212
Most shoes weren't messed up by the guests.,Most shoes weren't messed up by the pictures.,syntax,s-selection,animate_subject_passive,395,213
Stacy hasn't researched every restaurant.,Some box hasn't researched every restaurant.,syntax,s-selection,animate_subject_trans,790,214
Barbara helps that teacher.,A glacier helps that teacher.,syntax,s-selection,animate_subject_trans,369,215
Claire wasn't concealed by some actor.,Claire wasn't concealed by some slopes.,syntax,s-selection,animate_subject_passive,153,216
Judy is boasted about by the person.,Judy is boasted about by the carriage.,syntax,s-selection,animate_subject_passive,538,217
That slope isn't descended by the teenager.,That slope isn't descended by the birds.,syntax,s-selection,animate_subject_passive,485,218
Every unicycle is sold by the senator.,Every unicycle is sold by the report.,syntax,s-selection,animate_subject_passive,832,219
Florence is forgotten by some boy.,Florence is forgotten by some species.,syntax,s-selection,animate_subject_passive,163,220
The mushroom isn't bought by some men.,The mushroom isn't bought by some plane.,syntax,s-selection,animate_subject_passive,737,221
Those women are described by the children.,Those women are described by the report.,syntax,s-selection,animate_subject_passive,455,222
Some ice isn't lifted by some boy.,Some ice isn't lifted by some octopus.,syntax,s-selection,animate_subject_passive,764,223
Some waiter remembers Ruth.,Every fork remembers Ruth.,syntax,s-selection,animate_subject_trans,941,224
Some lake was passed by some cashiers.,Some lake was passed by some phenomena.,syntax,s-selection,animate_subject_passive,1,225
Sara can't scan that story.,Music can't scan that story.,syntax,s-selection,animate_subject_trans,474,226
Tamara complains about those drivers.,Every carriage complains about those drivers.,syntax,s-selection,animate_subject_trans,341,227
James wasn't revealed by some woman.,James wasn't revealed by some cars.,syntax,s-selection,animate_subject_passive,600,228
Rachelle wasn't driving to the lake.,The drawing wasn't driving to the lake.,syntax,s-selection,animate_subject_trans,131,229
Helen is observed by the doctor.,Helen is observed by the candles.,syntax,s-selection,animate_subject_passive,483,230
