ID,Grammatical_1,Ungrammatical_1,Grammatical_2,Ungrammatical_2,Notes,Extension_1,Extension_2
29,护士做了一次她需要做的检查。,护士做了一篇她需要做的检查。,护士做了一篇她需要做的报告。,护士做了一次她需要做的报告。,的报告,护士做了一篇她需要做的检查的报告。,护士做了一次她需要做的检查的报告。
30,这里是两台厂家刚接到的电视机。,这里是两份厂家刚接到的电视机。,这里是两份厂家刚接到的订单。,这里是两台厂家刚接到的订单。,的订单,这里是两份厂家刚推出的电视机的订单。,这里是两台厂家刚推出的电视机的订单。
31,我记得一棵他种的小树。,我记得一片他种的小树。,我记得一片他种的叶子。,我记得一棵他种的叶子。,的叶子,我记得一片他种的小树的叶子。,我记得一棵他种的小树的叶子。
32,他很欣赏一个他今天认识的组织。,他很欣赏一位他今天认识的组织。,他很欣赏一位他今天认识的领导人。,他很欣赏一个他今天认识的领导人。,的领导人,他很欣赏一位他今天认识的组织的领导人。,他很欣赏一个他今天认识的组织的领导人。
33,那里有一支司令安排的舰队。,那里有一艘司令安排的舰队。,那里有一艘司令安排的船。,那里有一支司令安排的船。,的船,那里有一艘司令安排的舰队的船。,那里有一支司令安排的舰队的船。
34,他拍下了一只别人研究过的老虎。,他拍下了一颗别人研究过的老虎。,他拍下了一颗别人研究过的牙齿。,他拍下了一只别人研究过的牙齿。,的牙齿,他拍下了一颗别人研究过的老虎的牙齿。,他拍下了一只别人研究过的老虎的牙齿。
35,她提到了一座我们准备拜访的古城堡。,她提到了一面我们准备拜访的古城堡。,她提到了一面我们准备拜访的古墙。,她提到了一座我们准备拜访的古墙。,的墙,她提到了一面我们准备拜访的古城堡的墙。,她提到了一座我们准备拜访的古城堡的墙。
36,她拿了一份她准备的饭。,她拿了一卷她准备的饭。,她拿了一卷她准备的手纸。,她拿了一份她准备的手纸。,里工作的女人的家里,她来到了一名在艺术家设计的办公楼里工作的女人的家里。,她来到了一栋在艺术家设计的办公楼里工作的女人的家里。
37,我经常去一家他去年去过的医院。,我经常去一座他去年去过的医院。,我经常去一座他去年去过的桥。,我经常去一家他去年去过的桥。,里放的歌中提到的饭店,我经常去一首于他去年去过的银行里放的歌中提到的饭店。,我经常去一家于他去年去过的银行里放的歌中提到的饭店。
38,奶奶会去拜访两位她早年欣赏的老朋友。,奶奶会去拜访两处她早年欣赏的老朋友。,奶奶会去拜访两处她早年欣赏的古迹。,奶奶会去拜访两位她早年欣赏的古迹。,写的书中介绍的医生,奶奶会去拜访在一本她早年欣赏的老朋友写的书中介绍的医生。,奶奶会去拜访在一位她早年欣赏的老朋友写的书中介绍的医生。
39,他买了一道邻居正在描述的沙拉。,他买了一处邻居正在描述的礼盒。,他买了一处邻居正在描述的仓库。,他买了一道邻居正在描述的仓库。,包装用的布,他买了一匹为邻居正在拿着的礼盒包装用的布。,他买了一个为邻居正在拿着的礼盒包装用的布。
40,孩子听到了一首他熟悉的歌谣。,孩子听到了一张他熟悉的歌谣。,孩子听到了一张他熟悉的专辑。,孩子听到了一首他熟悉的专辑。,里提到的画中的妈妈的声音,孩子听到了在一张他熟悉的歌谣里提到的画中的妈妈的声音。,孩子听到了在一首他熟悉的歌谣里提到的画中的妈妈的声音。
