item_id,prefix,continuation,category,published_date_gmt,download_date
21,"Michigan Repeals ‘Right-To-Work’ Law In Historic Win For Unions -- Democrats have taken power in Michigan, and they’re using",it,Politics,2023-03-24 19:53:14,2023-03-25
22,"Judge Rejects Trump’s Claims Of Executive Power, Orders Aides To Testify In Jan. 6 Probe -- A federal judge has ordered several top aides to former President Donald Trump to testify before a grand jury as part of a criminal investigation into Trump’s efforts to overturn the 2020 presidential election, according to Friday reports by ABC News and",CNN,Politics,2023-03-24 18:46:07,2023-03-25
23,House passes GOP bill that would give parents more influence over schools -- Florida school district removes over 170 books from its libraries Over 170 books banned from Florida school libraries following new education reform 02:52 Washington — House Republicans on Friday narrowly passed legislation aimed at fulfilling a campaign promise to give parents more of a role in what's taught in public,schools,Politics,2023-03-24 17:54:00,2023-03-25
24,"Marjorie Taylor Greene Leads Congressional Visit To Jan. 6 Rioters At D.C. Jail -- WASHINGTON — A group of lawmakers led by Rep. Marjorie Taylor Greene (R-Ga.) visited the D.C. jail Friday where Donald Trump supporters have been held for rioting at the Capitol on Jan. 6,",2021,Politics,2023-03-24 17:28:55,2023-03-25
25,Will 'educational freedom' handcuff Texas' public schools? -- SB 8 would provide thousands of taxpayer dollars for families to change,schools,Politics,2023-03-24 17:06:29,2023-03-25
26,"Senate Ethics Committee admonishes Sen. Lindsey Graham for campaign solicitations -- FILE: Sen. Lindsey Graham, R-S.C., speaks with reporters on Capitol Hill in Washington, March 16,",2022,Politics,2023-03-24 04:02:35,2023-03-24
27,Chart of the Day: Central Banks Race to Purchase Gold – What Do They Know? -- Did you know that nearly one-fifth of all the gold ever mined is held by central,banks,Politics,2023-03-24 04:01:16,2023-03-24
28,Kids to require parental consent to access social media apps under new Utah law -- Children and teenagers in Utah are to lose access to social media apps such as TikTok if they don't have parental consent and would face other restrictions under a first-in-the-nation law designed to shield young people from the addictive,apps,Politics,2023-03-24 03:52:06,2023-03-24
29,"House intel panel chairman says ban or sale of TikTok appears inevitable -- House Intelligence Committee Chairman Mike Turner, asked by CBS News if banning TikTok in the U.S. was inevitable, responded ""yes;"" he also said that assurances by the company's chief executive that American user data is insulated from Chinese authorities were","""unbelievable.""",Politics,2023-03-24 02:38:00,2023-03-24
30,Proud Boys trial disrupted after defense says its witness was paid FBI informant -- Washington — Prosecutors in the trial of the Proud Boys conceded Thursday that a witness to be called by the defense had previously been paid by the FBI as a confidential informant in the months before five members of the far-right group were to be tried for seditious,conspiracy,Politics,2023-03-24 01:07:00,2023-03-24
31,"State Department facing ""unprecedented demand"" for passports, Blinken says -- The U.S. State Department is facing ""unprecedented demand"" for passports as Americans gear up for renewed travel after the worst of the COVID-19 pandemic, Secretary of State Antony Blinken said",Thursday,Politics,2023-03-24 00:10:15,2023-03-24
32,House GOP fails to override Biden veto of ESG investing ban -- The standoff was a first test of the strength of the new Republican majority in the House as it confronts the Democratic president in the White,House,Politics,2023-03-23 23:51:07,2023-03-24
33,"Mark Ridley-Thomas Corruption Trial Now In The Hands Of The Jury -- Today, put a dollar value on the trustworthy reporting you rely on all year",long,Politics,2023-03-23 23:27:53,2023-03-24
34,"Mother of Ashli Babbitt meets with House Speaker Kevin McCarthy -- Washington — Micki Witthoeft, the mother of Ashli Babbitt, the woman who was shot and killed by police as she tried to climb through a set of doors to the Speaker's Lobby on Jan. 6, 2021, met Thursday with House Speaker Kevin McCarthy, in his Capitol office suite — steps away from where her daughter was",shot,Politics,2023-03-23 23:12:00,2023-03-24
35,"Manhattan grand jury investigating Trump unlikely to decide on any possible charges this week, sources say -- A Manhattan grand jury investigating allegations against former President Donald Trump is expected to meet Thursday to consider evidence in a different case, not Trump's, according to two sources familiar with the",matter,Politics,2023-03-23 22:53:00,2023-03-24
36,Prescription for housing? California wants Medicaid to cover 6 months of rent -- ,Gov,Health,2023-03-22 11:03:20,2023-03-22
37,End of covid emergency will usher in changes across the US health system -- The Biden administration's decision to end the covid-19 public health emergency in May will institute sweeping changes across the health care system that go far beyond many people having to pay more for covid,tests,Health,2023-03-22 10:58:34,2023-03-22
38,"A lot of thought, little action: Proposals about mental health go unheeded -- Thousands of people struggle to access mental health services in",Florida,Health,2023-03-22 10:53:00,2023-03-22
39,"Illumina launches its first product enabling long- and short-read sequencing on one instrument -- Illumina Inc. (NASDAQ: ILMN), a global leader in DNA sequencing and array-based technologies, today announced that its first product based on its novel Illumina Complete Long Read technology is now available to",order,Health,2023-03-22 08:57:00,2023-03-22
40,"Berkeley Lights Completes Acquisition of IsoPlexis Forming PhenomeX, the Functional Cell Biology Company -- Berkeley Lights, Inc. (Nasdaq: BLI), a life sciences tools company, today announced that it has completed its previously announced acquisition of IsoPlexis Corporation (Nasdaq: ISO), a company empowering labs to leverage the cells and proteome changing the course of human",health,Health,2023-03-22 08:53:00,2023-03-22
41,"Gyros Protein Technologies introduces new PurePep EasyClean services to accelerate development and manufacturing of peptide-based drugs -- Gyros Protein Technologies AB, a leading provider of peptide synthesizers and reagents, and a pioneer in automated nanoliter-scale immunoassays, today announced the launch of three service offerings to support development and manufacturing of peptide-based",drugs,Health,2023-03-22 08:34:00,2023-03-22
42,Insulin resistance increases retinopathy and nephropathy risk in young type 1 diabetics -- A study published in the journal Cardiovascular Diabetology describes the relationship between estimated glucose disposal rate (eGDR) and retinopathy or kidney disease in young adults with type 1,diabetes,Health,2023-03-22 04:20:00,2023-03-22
43,"Tetravalent COVID vaccine provides broad antibody responses against SARS-CoV-2 variants in animal model -- *Important notice: bioRxiv publishes preliminary scientific reports that are not peer-reviewed and, therefore, should not be regarded as conclusive, guide clinical practice/health-related behavior, or treated as established",information,Health,2023-03-22 03:56:00,2023-03-22
44,"Prior COVID and vaccination generate superior hybrid immunity -- In a recent article published in the journal Science Translational Medicine, researchers in France performed a long-term longitudinal analysis to demonstrate the benefits of hybrid immunity to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), i.e., induced by viral infection followed by",vaccination,Health,2023-03-22 03:42:00,2023-03-22
45,"Loss of smell following COVID-19 recovery: How long could it last? -- *Important notice: Preprints with The Lancet / SSRN publishes preliminary scientific reports that are not peer-reviewed and, therefore, should not be regarded as conclusive, guide clinical practice/health-related behavior, or treated as established",information,Health,2023-03-22 03:24:00,2023-03-22
46,"Pennsylvania Sen. John Fetterman expected back 'soon,' but no certain timeline yet -- Fetterman's office said that he is expected to return soon to the chamber, although leaders are giving no timeline five weeks after he sought inpatient treatment for clinical",depression,Health,2023-03-24 08:51:49,2023-03-24
47,"CDC report finds more children in U.S. diagnosed with autism due to better screening -- In 2020, about 1 in 36 children had been diagnosed with autism by age 8, the CDC",says,Health,2023-03-24 02:41:48,2023-03-24
48,"CDC report finds more children in U.S. diagnosed with autism due to better screening -- In 2020, about 1 in 36 children had been diagnosed with autism by age 8, the CDC",says,Health,2023-03-23 23:41:59,2023-03-24
49,"CDC report finds more children in U.S. diagnosed with autism due to better screening -- In 2020, about 1 in 36 children had been diagnosed with autism by age 8, the CDC",says,Health,2023-03-23 23:41:59,2023-03-24
50,"Minnesota House set to debate and pass ""trans refuge"" legislation -- ST. PAUL, Minn. -- Supporters of a bill up for debate Thursday night say it will make Minnesota a ""refuge"" for transgender",people,Health,2023-03-23 23:35:54,2023-03-24
51,"Yes, there was just a tornado near Los Angeles. Is climate change to blame? -- In a rare turn of events, a town southeast of Los Angeles was hit by a tornado on Wednesday, marking the latest extreme weather the region has fielded in recent",months,Science,2023-03-23 18:50:00,2023-03-24
52,"How the US can stop the spread of Candida auris, a drug-resistant fungus -- The Centers for Disease Control and Prevention (CDC) sounded the alarm earlier this week over the recent, rapid spread in health care facilities of a drug-resistant fungus that can cause deadly infections in immunocompromised",individuals,Science,2023-03-23 18:10:00,2023-03-24
53,"The card that’s a sign of eternal friendship -- Re your letters on friendship (Letters, 19 March), 60 years ago, I popped in to a card shop and paid 1s 9d for a McTavish’s eternal birthday",card,Health,2023-03-23 18:09:12,2023-03-24
54,"Boosting caffeine intake could reduce diabetes risk, study finds -- Welcome to the Fox News Health",Newsletter,Health,2023-03-23 15:53:01,2023-03-24
55,"Invasive group A strep on the rise in parts of the US: What to know -- Cases of invasive group A strep infections, which can cause severe illness and be deadly, remain elevated in some parts of the country, officials",warned,Health,2023-03-23 14:57:43,2023-03-24
56,Scientists create mice from two dads after making eggs from skin cells -- Scientists have created mice with two biologically male parents for the first time - a significant milestone in reproductive,biology,Science,2023-03-25 00:16:18,2023-03-25
57,Rising seas will cut off many properties before they’re flooded -- Climate change produces lots of risks that are difficult to,predict,Science,2023-03-24 22:51:12,2023-03-25
58,A Prebiotic Genetic Alphabet As An Early Darwinian Ancestor For Pre-RNA Evolution -- Synthesis of,BaTP,Science,2023-03-24 22:23:21,2023-03-25
59,"NASA Seeks Members For The Mars Sample Receiving Project Measurement Definition Team -- Mars Sample Return NASA and ESA are planning to charter a Measurement Definition Team (MDT) to assess the measurement and instrumentation needs for the high-containment Mars Sample Return Sample Receiving Project facility to process samples brought back from Mars and accomplish sample safety assessment, curation, and",science,Science,2023-03-24 22:12:00,2023-03-25
60,NASA Prepares For OSIRIS-REx Sample Delivery From Asteroid Bennu -- Canister containing material collected from asteroid Bennu placed inside the OSIRIS-REx sample return,capsule,Science,2023-03-24 22:07:29,2023-03-25
61,"California ends some water limits after storms ease drought -- DUNNIGAN, Calif. — California",Gov,Science,2023-03-24 21:22:14,2023-03-25
62,Two more dead as patients report horrifying details of eye drop outbreak -- Two more people have died and more details of horrifying eye infections are emerging in a nationwide outbreak linked to recalled eye drops from EzriCare and,Delsam,Science,2023-03-24 21:11:02,2023-03-25
63,"Why don’t we have vaccines for fungal infections? -- The second episode of the HBO hit The Last Of Us opens with a scene in Jakarta,",Indonesia,Health,2023-03-24 20:47:07,2023-03-25
64,Blue Origin blames New Shepard mishap on engine nozzle failure -- WASHINGTON — Blue Origin says it is preparing to resume flights of its New Shepard suborbital vehicle after completing an investigation into a failed launch last,September,Technology,2023-03-24 19:47:02,2023-03-25
65,"Ubisoft Develops Tool to Crank Out Video Game Dialogue Using AI -- A generic dialogue machine, or a tedium",saver,Science,2023-03-24 19:33:29,2023-03-25
66,"NEXT Weather: 10 p.m. report -- NEXT Weather: 10 p.m. report A storm will pass over Minnesota late Tuesday and early Wednesday, bringing snow up north and rain to the",metro,Environment,2023-03-22 03:27:00,2023-03-22
67,"First Alert weather: CBS2 11 p.m. forecast -- First Alert weather: CBS2 11 p.m. forecast CBS2's Lonnie Quinn is calling for a mild day on Wednesday, with sun and clouds and a high approaching 60",degrees,Environment,2023-03-22 03:23:00,2023-03-22
68,Next Weather: WBZ Forecast -- Eric Fisher has an updated weather,forecast,Environment,2023-03-22 03:21:00,2023-03-22
69,How homeowners can prepare for spring melt -- How homeowners can prepare for spring melt A nationwide flood outlook from the National Weather Service shows Stillwater and part of the Twin Cities metro in a “major flood” risk,zone,Environment,2023-03-22 03:20:00,2023-03-22
70,"How homeowners can prepare for spring melt -- DELANO, Minn. – A nationwide flood outlook from the National Weather Service shows Stillwater and part of the Twin Cities metro are in a ""major flood"" risk",zone,Environment,2023-03-22 02:59:00,2023-03-22
71,"Update: All eastbound Bay Bridge lanes reopened hours after big rig overturns; Traffic at a crawl -- SAN FRANCISCO -- An overturned big rig on the Bay Bridge Tuesday afternoon blocked multiple lanes of traffic in the eastbound direction out of San Francisco, grinding the evening commute to a halt for hours until it was",cleared,Environment,2023-03-22 02:02:00,2023-03-22
72,"Stillwater declares state of emergency ahead of dire spring flooding forecast -- How homeowners can prepare for spring melt How homeowners can prepare for spring melt How homeowners can prepare for spring melt STILLWATER, Minn. – The melting snow may seem minor now, but one Minnesota city is getting ready for a lot",more,Environment,2023-03-22 01:32:00,2023-03-22
73,NEXT Weather: 6 p.m. report -- NEXT Weather: 6 p.m. report WCCO meteorologist Mike Augustyniak says rain is expected to fall Tuesday evening into Wednesday morning in the Twin,Cities,Environment,2023-03-21 23:26:00,2023-03-22
74,"Van driver killed by toppled tree in Portola Valley -- PORTOLA VALLEY -- A person driving a van was killed Tuesday afternoon in Portola Valley after a tree toppled onto the vehicle, the California Highway Patrol",reported,Environment,2023-03-21 22:29:30,2023-03-22
75,"NEXT Weather: 5 p.m. report -- NEXT Weather: 5 p.m. report Snow will move in to the northwestern corner of Minnesota, while the Twin Cities will see some drizzles",overnight,Environment,2023-03-21 22:26:00,2023-03-22
76,"U.S. pair of Chock and Bates win first world ice dance title -- SAITAMA, Japan — Madison Chock and Evan Bates of the United States won their first ice dance title at the figure skating world championships on",Saturday,Technology,2023-03-25 09:00:58,2023-03-25
77,"Houston Methodist patient's brain tumor shrinks after using experimental helmet for 6 months -- A woman diagnosed with diffuse intrinsic pontine glioma, a deadly brain tumor, has seen improvement after using a magnetic stimulation",helmet,Health,2023-03-25 00:31:54,2023-03-25
78,Allergy Season Is Getting Worse And Lasting Longer. Here's What Doctors Want You To Know. -- FG Trade via Getty Images Allergy season is in full,swing,Health,2023-03-24 21:41:13,2023-03-25
79,"Tulane receives up to $16 million to move nasal pneumonia vaccine from the lab to clinical trials -- The National Institute of Allergy and Infectious Diseases awarded an up to $16 million contract to Tulane University to bring to phase one clinical trial a nasal spray vaccine university researchers invented to thwart antibiotic-resistant Klebsiella pneumoniae, a leading cause of",pneumonia,Health,2023-03-24 19:55:16,2023-03-25
80,"TTUHSC El Paso scientist receives $2.6 million NIH grant for research on tuberculosis -- For over a century, El Paso has long been a sanctuary for individuals suffering from",tuberculosis,Health,2023-03-24 19:49:39,2023-03-25
81,"LA County’s 3-year COVID Emergency Ends On March 31. Here’s What Will Change -- Today, put a dollar value on the trustworthy reporting you rely on all year",long,Health,2023-03-24 19:48:07,2023-03-25
82,Substance use disorders not associated with COVID-19-related mortality -- New research from Boston Medical Center found that substance use disorders do not increase the likelihood of dying from,COVID-19,Health,2023-03-24 19:28:34,2023-03-25
83,"Obamacare at 13: Biden and a KHN reporter remember -- I was back in the crowded East Room of the White House on Thursday, as I was 13 years ago, this time standing under a portrait of first first lady Martha Washington, when President Joe Biden entered for a lunchtime event focused on the Affordable Care",Act,Health,2023-03-24 17:23:00,2023-03-25
84,"Alzheimer’s first signs may appear in your eyes, study finds -- Editor’s Note: Get inspired by a weekly roundup on living well, made",simple,Health,2023-03-24 15:05:00,2023-03-25
85,"For Those With Eating Disorders, Ozempic Can Be A Triggering Nightmare -- Illustration:Jianan Liu/HuffPost Photo:Getty Images The nonstop TV ads for Ozempic ― a diabetes medication that has off-label use as a weight loss drug ― are plenty annoying: “Oh, oh, oh, Ozempic!” the unnervingly upbeat TV spot goes, sampling the 1970s classic-rock hit “Magic.” For some people who’ve dealt with eating disorders, the TV spots ― along with suspected celebrity use and media coverage that some feel glamorize the drug ― aren’t merely annoying; it’s all been emotionally",triggering,Entertainment,2023-03-25 13:00:00,2023-03-25
86,Sheet pan dinner uses classic Moroccan spices in place of salt -- Bethany Thayer Henry Ford Health Many Mediterranean dishes use a clever mix of seasonings in healthful meals made from vegetables and dried,fruit,Entertainment,2023-03-25 11:44:21,2023-03-25
87,"Review: 'Ringmaster: Vince McMahon and the Unmaking of America' by Abraham Riesman -- Listen 9 min Comment on this story Comment Gift Article Share The history of professional wrestling is a story of fixed matches, false narratives and the bloodthirsty consolidation of",power,Entertainment,2023-03-25 10:00:55,2023-03-25
88,"An electrifying exhibit shows Richard Avedon at his most ambitious -- Listen 9 min Comment on this story Comment Gift Article Share When, in 1969, Richard Avedon decided to go big, he’d intuited that it was either that or, as they say, go",home,Entertainment,2023-03-25 10:00:43,2023-03-25
89,Juliette Lewis conquered Hollywood by 22. She’s finally back on top. -- Style Juliette Lewis conquered Hollywood by,22,Entertainment,2023-03-25 10:00:00,2023-03-25
90,What to watch this weekend: ‘Succession’ returns to HBO -- Comment on this story Comment Gift Article Share (All times,Eastern.),Entertainment,2023-03-25 05:00:00,2023-03-25
91,Jonathan Majors' New Movie Gets December Release Date -- Jonathan Majors' next movie has gotten a new release,date,Entertainment,2023-03-25 04:58:00,2023-03-25
92,Portugal’s Tage Studios Promises to Be Europe’s First Entirely Green Shooting Facility -- This story is part of The Hollywood Reporter’s 2023 Sustainability Issue (click here to read,more),Business,2023-03-22 15:00:00,2023-03-22
93,"Hollywood Courts Wall Street’s ESG Investors Mainly With Film and TV Messages, Not Carbon Offsets -- This story is part of The Hollywood Reporter’s 2023 Sustainability Issue (click here to read",more),Business,2023-03-22 15:00:00,2023-03-22
94,‘A Matter of Degrees’ Co-Host: Hollywood Needs More Climate Stories -- This story is part of The Hollywood Reporter’s 2023 Sustainability Issue (click here to read,more),Business,2023-03-22 15:00:00,2023-03-22
95,"UTA Opens Doors on Atlanta Full-Service Office -- UTA and sister company Klutch Sports Group have officially opened a new office in Atlanta, marking the Hollywood talent agency’s expansion to launch a full-service shop in that key U.S. production",center,Business,2023-03-22 15:00:00,2023-03-22
96,"Traditional banks rely on ‘tiny buffer’: Paris Blockchain Week 2023 -- The first day of Paris Blockchain Week (PBW) is providing more thoughts on the ongoing crisis in the global banking system, with industry executives comparing the collapses of major cryptocurrency firms like FTX with the fall of banks like Silicon Valley Bank",(SVB),Business,2023-03-22 14:28:52,2023-03-22
97,"Newsmax to Return to DirecTV Lineup, Ending Carriage Dispute -- The conservative news and commentary channel Newsmax will return to the lineup of satellite giant DirecTV, nearly two months after a carriage dispute broke out and became a political",football,Business,2023-03-22 14:19:42,2023-03-22
98,"Creating ‘organic’ generative art from robotic algorithms: Emily Xie, NFT Creator -- New York’s Emily Xie is exploring the new frontier of digital art by combining her skills and passion for computer science and generative",art,Business,2023-03-22 13:30:00,2023-03-22
99,"Tim Draper sings a Bitcoin song dedicated to SVB and world governments: PBW 2023 -- American venture capital investor and entrepreneur Tim Draper took the master stage at Paris Blockchain Week 2023 to give his keynote speech on “The Decentralization of Everything,” which he ended with a self-composed Bitcoin",song,Business,2023-03-22 11:52:17,2023-03-22
100,"Cathie Wood’s ARK sells Coinbase stock for the first time in 2023 -- Cathie Wood’s investment management firm ARK Invest is moving to take profits from its Coinbase shares, selling its first batch of Coinbase stock in",2023,Business,2023-03-22 11:26:09,2023-03-22
101,AFM to Change Venues Following Closure of Loews Hotel -- The American Film Market has a new,home,Business,2023-03-22 10:55:14,2023-03-22
102,Cruise shares comment after robotaxi crashes into San Francisco Muni bus -- By A Cruise robotaxi operating without a safety driver recently collided with a San Francisco Municipal Transportation Agency (Muni),bus,Technology,2023-03-26 04:41:25,2023-03-26
103,"Encore: The number of Black video game developers is small, but strong -- Encore: The number of Black video game developers is small, but strong Even though only 5% of those working in video game development identify as Black, Black gamers and developers have had a significant impact on the",industry,Technology,2023-03-25 21:21:26,2023-03-26
104,"Wisconsin Rep. Mark Pocan on TikTok hearing -- Wisconsin Rep. Mark Pocan on TikTok hearing NPR's Scott Detrow speaks with Mark Pocan, Democratic congressman of Wisconsin, about this week's hearing that featured TikTok CEO Shou Zi Chew, and how he thinks lawmakers should regulate the",app,Technology,2023-03-25 21:21:26,2023-03-26
105,"Cordon-Ragot alarmed as Zaaf could be forced to use bank guarantee to pay salaries -- French Champion Audrey Cordon-Ragot has spoken out about the Zaaf Cycling Team, confirming the allegations that management has not paid riders and staff salaries since January 1,",2023,Technology,2023-03-25 20:54:36,2023-03-26
106,"Tesla Giga Berlin ramps production to 5,000 vehicles per week -- By Tesla Giga Berlin has reached an annual run rate of 260,000 vehicles, the company",confirmed,Technology,2023-03-25 20:07:15,2023-03-26
107,"Aboriginal Art Is Booming in Australia. Inside the Galleries and Museums Spotlighting First Nation Works. -- When a flash flood sent a five-foot wave sweeping through the Mitchelton Gallery of Aboriginal Art last fall, curator Adam Knight helicoptered in to rescue what he",could,Technology,2023-03-25 19:00:00,2023-03-26
108,"How to watch Gent-Wevelgem – live streaming -- Wout van Aert is among the favourites for Classics glory at Gent-Wevelgem on Sunday We're deep into cobbled Classics season now and the men's Gent-Wevelgem and Gent-Wevelgem Women are next on the menu on Sunday, March",26,Technology,2023-03-25 18:30:02,2023-03-26
109,Elon Musk listed as Featured Speaker for 2023 POSSIBLE event -- By Elon Musk has been listed as a Featured Speaker for the 2023 POSSIBLE Event hosted by NBC,Universal,Technology,2023-03-25 18:24:17,2023-03-26
110,"Tiny Amounts of Plastic Cause Horrifying Problems in Chicken Embryos -- Image by Getty / Futurism Developments In more terrible news from the tiny-bits-of-plastic front: a recent study from researchers at the Netherlands' Leiden University found that nanoplastics — particles even smaller than microplastics — cause absolutely horrid development problems in chicken embryos, leading to extensive malformations and birth defects in newborn",chicks,Science,2023-03-25 18:02:07,2023-03-26
111,"WMA: The Crypto Market Withstands Banking Sector Storm -- Get the weekly summary of crypto market analysis, news, and",forecasts,Top,2023-03-26 13:25:40,2023-03-26
112,"Letter: Let's restore the night sky in Fargo-Moorhead -- For most of history, light came from few",sources,Top,2023-03-26 11:24:00,2023-03-26
113,How the diversion project saved money by buying grain elevators and a rail spur in Horace it doesn't need -- HORACE — The Metro Flood Diversion Authority is now the improbable owner of former CHS grain elevators and more than two miles of abandoned railroad track that once served the storage,facility,Top,2023-03-26 10:47:00,2023-03-26
114,John Wheeler: So many factors other than snow accumulation affect spring flooding -- FARGO — The point has been made in this space many times that the total winter snow accumulation does not relate particularly well to the severity of the spring,flood,Top,2023-03-26 10:00:00,2023-03-26
115,"Another I-94 exit in the works for West Fargo -- WEST FARGO — The city of West Fargo could get an additional Interstate 94 exit at 26th Street West, west of the",fairgrounds,Top,2023-03-26 09:07:00,2023-03-26
116,"Marathon bankruptcy case involving defunct ND horse betting firm crossing finish line -- FARGO — The trustee in the bankruptcy case of Racing Services Inc. (RSI), a defunct horse betting operation based in Fargo, has submitted a final report in U.S. Bankruptcy Court outlining how the estate was liquidated and where it's approximately $16.8 million in assets wound",up,Top,2023-03-26 09:06:00,2023-03-26
117,"FCA, Intertrader, TrioMarkets and More: Executive Moves of the Week -- As we enter the last week of March 2023, there is some growth in the number of executives being onboarded this week in the forex, crypto and fintech",industries,Top,2023-03-26 09:00:00,2023-03-26
118,"Ripple and XRP To Succeed Despite SEC Case Outcome, Fortune Article Submits -- While several people tie the success of XRP to a positive outcome in the ongoing court battle between Ripple and the United States SEC, a recent article published on Friday by the top media company Fortune says",otherwise,Top,2023-03-26 08:04:20,2023-03-26
119,How Did Beethoven Die? -- Ludwig van Beethoven was a German composer and pianist who is seen as the most important person in the history of Western,music,Top,2023-03-26 07:30:16,2023-03-26
120,"Gophers-Huskies game sets Fargo Regional attendance record -- FARGO — A Fargo Regional record crowd of 5,326 witnessed Minnesota defeat",St,Top,2023-03-26 06:46:22,2023-03-26
121,Bayern Munich goalkeeper Yann Sommer says Matthijs de Ligt’s clearance vs PSG was a season changing moment -- Everyone has been gushing over Matthijs de Ligt and how Bayern Munich sporting director Brazzo got a steal from Juventus for the 23-year-old,Dutchman,Sports,2023-03-22 16:00:00,2023-03-22
122,Judge stands by previous decision in Henry Ruggs’ DUI case -- A Las Vegas judge on Wednesday stood by his previous decision to recuse himself from presiding over former Raiders player Henry Ruggs’ fatal DUI,case,Sports,2023-03-22 14:38:59,2023-03-22
123,"Baseball’s Unicorn Made the W.B.C. ‘Real’ -- MIAMI — He strode to the mound with purpose, 6-foot-4 and full of muscle, a relief pitcher unlike any",other,Sports,2023-03-22 09:00:15,2023-03-22
124,2023 World Baseball Classic score: Japan holds off USA as Shohei Ohtani closes out team's third WBC title -- Japan defeated Team USA 3-2 on Tuesday night to win the 2023 World Baseball,Classic,Sports,2023-03-22 05:51:23,2023-03-22
