"Sentence","Plausibility","Score","ItemNum"
"The carpenter flipped the board.","Plausible",6.35,47
"The carpenter flipped the hair.","Implausible",3.1,47
"The carpenter grabbed the board.","Plausible",5.85,48
"The carpenter grabbed the ball.","Implausible",1.25,48
"The carver built the sculpture.","Plausible",6.05,49
"The carver built the house.","Implausible",2.9,49
"The cat chased the bird.","Plausible",5.85,50
"The cat chased the kite.","Implausible",3.9,50
"The cat drank the milk.","Plausible",5.6,51
"The cat drank the coffee.","Implausible",1.45,51
"The champion held the cup.","Plausible",6.4,52
"The champion held the guitar.","Implausible",2.95,52
"The chauffeur carried the passenger.","Plausible",6.65,53
"The chauffeur carried the rifle.","Implausible",2.1,53
"The cheerleader carried the flag.","Plausible",5.2,54
"The cheerleader carried the rifle.","Implausible",2.2,54
"The cheerleader performed the dance.","Plausible",5.75,55
"The cheerleader performed the spell.","Implausible",1.65,55
"The cheerleader shook the flag.","Plausible",5.15,56
"The cheerleader shook the drink.","Implausible",2.75,56
"The chemist mixed the substance.","Plausible",6.85,57
"The chemist mixed the music.","Implausible",1.35,57
"The chemist poured the compound.","Plausible",6.25,58
"The chemist poured the juice.","Implausible",2.75,58
"The chemist sold the drug.","Plausible",4.45,59
"The chemist sold the dog.","Implausible",1.9,59
"The child ate the candy.","Plausible",6.35,60
"The child ate the bone.","Implausible",2.85,60
"The child built the snowman.","Plausible",6.15,61
"The child built the sculpture.","Implausible",3.95,61
"The child celebrated the birthday.","Plausible",6.45,62
"The child celebrated the victory.","Implausible",5.05,62
"The child chased the toy.","Plausible",6.1,63
"The child chased the thief.","Implausible",2.05,63
"The child climbed the tree.","Plausible",5.2,64
"The child climbed the mountain.","Implausible",3.2,64
"The child crossed the park.","Plausible",5.55,65
"The child crossed the river.","Implausible",3.5,65
"The child cut the paper.","Plausible",5.35,66
"The child cut the tree.","Implausible",1.75,66
"The child drank the coke.","Plausible",4.65,67
"The child drank the beer.","Implausible",2,67
"The child drew the flower.","Plausible",4.95,68
"The child drew the horse.","Implausible",5.65,68
"The child enjoyed the ride.","Plausible",6.7,69
"The child enjoyed the lecture.","Implausible",2.85,69
"The child found the doll.","Plausible",5.65,70
"The child found the corpse.","Implausible",1.45,70
"The child grabbed the frisbee.","Plausible",4.95,71
"The child grabbed the tyre.","Implausible",2.3,71
"The child lent the pen.","Plausible",4.45,72
"The child lent the car.","Implausible",1.45,72
"The child opened the present.","Plausible",6.7,73
"The child opened the congress.","Implausible",1.5,73
"The child picked the flower.","Plausible",5.4,74
"The child picked the investment.","Implausible",1.65,74
"The child rode the bus.","Plausible",5.3,75
"The child rode the bull.","Implausible",2,75
"The child threw the ball.","Plausible",6.35,76
"The child threw the bottle.","Implausible",4.2,76
"The child threw the snowball.","Plausible",5.95,77
"The child threw the spear.","Implausible",1.6,77
"The child told the lie.","Plausible",5.95,78
"The child told the verdict.","Implausible",2.05,78
"The child visited the grandmother.","Plausible",5.95,79
"The child visited the president.","Implausible",3.05,79
"The child visited the zoo.","Plausible",6.3,80
"The child visited the prisoner.","Implausible",2,80
"The child wrote the conjugation.","Plausible",3.95,81
"The child wrote the diagnosis.","Implausible",1.05,81
"The climber climbed the rock.","Plausible",6.8,82
"The climber climbed the staircase.","Implausible",5.6,82
"The climber faced the wall.","Plausible",5.5,83
"The climber faced the ocean.","Implausible",2.35,83
"The climber used the rope.","Plausible",6.85,84
"The climber used the blackboard.","Implausible",1.8,84
"The coach checked the team.","Plausible",6.95,85
"The coach checked the car.","Implausible",2.45,85
"The cobbler fixed the shoe.","Plausible",6.25,86
"The cobbler fixed the phone.","Implausible",1.55,86
"The cobbler sewed the shoe.","Plausible",6.6,87
"The cobbler sewed the parachute.","Implausible",1.6,87
"The collector donated the painting.","Plausible",3.7,88
"The collector donated the blood.","Implausible",3.4,88
"The comedian entertained the audience.","Plausible",6.35,89
"The comedian entertained the soldier.","Implausible",4.3,89
"The confectioner decorated the cake.","Plausible",6.05,90
"The confectioner decorated the tree.","Implausible",2.9,90
"The confectioner spread the icing.","Plausible",6.35,91
"The confectioner spread the cement.","Implausible",1.2,91
"The cook bought the food.","Plausible",5.1,92
"The cook bought the ticket.","Implausible",3,92
"The cook checked the groceries.","Plausible",6.2,93
"The cook checked the tire.","Implausible",1.9,93
"The cook cleaned the fish.","Plausible",6.1,94
"The cook cleaned the window.","Implausible",2.3,94
"The cook cut the fish.","Plausible",5.75,95
"The cook cut the grass.","Implausible",3.35,95
"The cook flipped the pancake.","Plausible",6.3,96
"The cook flipped the hair.","Implausible",2.5,96
"The cook mixed the ingredient.","Plausible",6.15,97
"The cook mixed the paint.","Implausible",1.9,97
"The cowboy enjoyed the ride.","Plausible",5.6,98
"The cowboy enjoyed the snack.","Implausible",4.8,98
"The cowboy rode the bull.","Plausible",5.7,99
"The cowboy rode the bike.","Implausible",3.25,99
"The crew loaded the container.","Plausible",5.2,100
"The crew loaded the stroller.","Implausible",3.4,100
"The customer read the menu.","Plausible",5.45,101
"The customer read the music.","Implausible",2.6,101
"The cyclist completed the race.","Plausible",6.25,102
"The cyclist completed the project.","Implausible",2.7,102
"The cyclist fixed the bike.","Plausible",6.1,103
"The cyclist fixed the hair.","Implausible",2.5,103
"The cyclist rode the bike.","Plausible",6.5,104
"The cyclist rode the skates.","Implausible",2.1,104
"The dealer checked the car.","Plausible",5.9,105
"The dealer checked the net.","Implausible",2.95,105
"The dealer examined the car.","Plausible",6.4,106
"The dealer examined the plant.","Implausible",2.35,106
"The dealer sold the car.","Plausible",6.7,107
"The dealer sold the meat.","Implausible",3.9,107
"The deejay mixed the music.","Plausible",6.65,108
"The deejay mixed the ingredient.","Implausible",2.1,108
"The demonstrator carried the flag.","Plausible",5.85,109
"The demonstrator carried the ball.","Implausible",3.45,109
"The demonstrator signed the petition.","Plausible",5.25,110
"The demonstrator signed the shirt.","Implausible",2.1,110
"The demonstrator threw the stone.","Plausible",3.5,111
"The demonstrator threw the frisbee.","Implausible",2.05,111
"The diplomat carried the message.","Plausible",5.65,112
"The diplomat carried the dog.","Implausible",3,112
"The doctor helped the woman.","Plausible",6.1,113
"The doctor helped the cook.","Implausible",2.05,113
"The doctor offered the support.","Plausible",6,114
"The doctor offered the breakfast.","Implausible",2.15,114
"The doctor sewed the wound.","Plausible",5.65,115
"The doctor sewed the shoe.","Implausible",1.6,115
"The doctor used the stethoscope.","Plausible",5.85,116
"The doctor used the shovel.","Implausible",2.9,116
"The doctor visited the patient.","Plausible",6.05,117
"The doctor visited the museum.","Implausible",2.95,117
"The doctor wrote the diagnosis.","Plausible",6.8,118
"The doctor wrote the conjugation.","Implausible",3.05,118
"The dog ate the bone.","Plausible",6.25,119
"The dog ate the plant.","Implausible",4.3,119
"The dog carried the ball.","Plausible",6,120
"The dog carried the flag.","Implausible",1.45,120
"The dog caught the ball.","Plausible",5.65,121
"The dog caught the wave.","Implausible",2.35,121
"The dog chased the ball.","Plausible",6.5,122
"The dog chased the tank.","Implausible",2.25,122
"The dog dug the hole.","Plausible",6.5,123
"The dog dug the grave.","Implausible",2.6,123
"The dog fetched the ball.","Plausible",5.5,124
"The dog fetched the tray.","Implausible",3.2,124
"The dog pulled the sled.","Plausible",5.05,125
"The dog pulled the trigger.","Implausible",2.8,125
"The driver heard the horn.","Plausible",5.75,126
"The driver heard the baby.","Implausible",3.25,126
"The electrician checked the device.","Plausible",5.35,127
"The electrician checked the rifle.","Implausible",1.9,127
"The employee passed the report.","Plausible",5.4,128
"The employee passed the rifle.","Implausible",1.8,128
"The employer offered the job.","Plausible",6.65,129
"The employer offered the candy.","Implausible",2.85,129
"The engineer completed the project.","Plausible",6.25,130
"The engineer completed the painting.","Implausible",1.85,130
"The engineer drew the turbine.","Plausible",5.4,131
"The engineer drew the flower.","Implausible",2.1,131
"The farmer picked the vegetable.","Plausible",5.8,132
"The farmer picked the killer.","Implausible",1.55,132
"The farmer plowed the field.","Plausible",6.8,133
"The farmer plowed the sand.","Implausible",4.1,133
"The farmer sold the corn.","Plausible",6.25,134
"The farmer sold the drug.","Implausible",1.45,134
"The farmer sprayed the pesticide.","Plausible",6.7,135
"The farmer sprayed the cream.","Implausible",2.15,135
"The farmer used the shovel.","Plausible",5.95,136
"The farmer used the computer.","Implausible",2.55,136
"The fighter kicked the opponent.","Plausible",5.55,137
"The fighter kicked the television.","Implausible",2.6,137
"The firefighter fought the fire.","Plausible",7,138
"The firefighter fought the crime.","Implausible",2.05,138
"The fisherman caught the fish.","Plausible",6.45,139
"The fisherman caught the ball.","Implausible",2.2,139
"The fisherman checked the net.","Plausible",6.15,140
"The fisherman checked the car.","Implausible",1.75,140
"The fisherman sold the fish.","Plausible",6.45,141
"The fisherman sold the drug.","Implausible",1.55,141
"The florist sold the flower.","Plausible",6.15,142
"The florist sold the bike.","Implausible",1.4,142
"The footballer chased the ball.","Plausible",5.75,143
"The footballer chased the toy.","Implausible",2.7,143
"The footballer delivered the kick.","Plausible",5.9,144
"The footballer delivered the lecture.","Implausible",3.2,144
"The footballer hit the ball.","Plausible",6.05,145
"The footballer hit the car.","Implausible",2.3,145
"The footballer kicked the ball.","Plausible",6.6,146
"The footballer kicked the vase.","Implausible",1.35,146
"The footballer passed the ball.","Plausible",6.75,147
"The footballer passed the knife.","Implausible",1.55,147
"The gardener cut the grass.","Plausible",6.5,148
"The gardener cut the fish.","Implausible",1.45,148
"The gardener decorated the garden.","Plausible",6.3,149
"The gardener decorated the book.","Implausible",2.05,149
"The gardener gathered the grass.","Plausible",5.65,150
"The gardener gathered the flag.","Implausible",1.9,150
"The gardener pushed the mower.","Plausible",5.65,151
"The gardener pushed the demonstrator.","Implausible",2.6,151
"The general gathered the soldier.","Plausible",5.9,152
"The general gathered the bread.","Implausible",1.85,152
"The general sent the soldier.","Plausible",6.8,153
"The general sent the postcard.","Implausible",3.2,153
"The general won the battle.","Plausible",6.1,154
"The general won the toy.","Implausible",1.55,154
"The goalkeeper caught the ball.","Plausible",6,155
"The goalkeeper caught the fish.","Implausible",1.65,155
"The goalkeeper grabbed the ball.","Plausible",5.6,156
"The goalkeeper grabbed the phone.","Implausible",2.65,156
"The goalkeeper held the ball.","Plausible",6.7,157
"The goalkeeper held the child.","Implausible",2.7,157
"The goalkeeper threw the ball.","Plausible",6.15,158
"The goalkeeper threw the bomb.","Implausible",1.05,158
"The government offered the protection.","Plausible",5.7,159
"The government offered the drink.","Implausible",1.5,159
"The grandfather told the story.","Plausible",6.55,160
"The grandfather told the strategy.","Implausible",4.15,160
"The guard opened the jail.","Plausible",6.5,161
"The guard opened the present.","Implausible",2.05,161
"The guard tied the prisoner.","Plausible",4.8,162
"The guard tied the roast.","Implausible",2.5,162
"The guest held the drink.","Plausible",5.3,163
"The guest held the camera.","Implausible",3.55,163
"The guest hung the coat.","Plausible",5.2,164
"The guest hung the laundry.","Implausible",3.9,164
"The guide described the monument.","Plausible",5.9,165
"The guide described the software.","Implausible",3.8,165
"The hairstylist fixed the hair.","Plausible",6.85,166
"The hairstylist fixed the bike.","Implausible",1.25,166
"The hairstylist flipped the hair.","Plausible",6.35,167
"The hairstylist flipped the board.","Implausible",1.9,167
"The hairstylist sprayed the foam.","Plausible",5.95,168
"The hairstylist sprayed the pesticide.","Implausible",1.25,168
"The hairstylist washed the hair.","Plausible",6.15,169
"The hairstylist washed the infant.","Implausible",2.85,169
"The hiker faced the mountain.","Plausible",6.15,170
"The hiker faced the camera.","Implausible",3.95,170
"The horse drew the carriage.","Plausible",4.05,171
"The horse drew the trailer.","Implausible",2.7,171
"The horse moved the cart.","Plausible",4.3,172
"The horse moved the suitcase.","Implausible",1.4,172
"The horse pulled the cart.","Plausible",4.95,173
"The horse pulled the suitcase.","Implausible",1.55,173
"The hostess explained the procedure.","Plausible",4.1,174
"The hostess explained the poem.","Implausible",1.75,174
"The hound fetched the bird.","Plausible",5.05,175
"The hound fetched the money.","Implausible",2.85,175
"The housemaid cleaned the dish.","Plausible",5.7,176
"The housemaid cleaned the fish.","Implausible",3.9,176
"The housemaid cleaned the window.","Plausible",6.65,177
"The housemaid cleaned the street.","Implausible",2.9,177
"The housemaid mopped the floor.","Plausible",6.7,178
"The housemaid mopped the barracks.","Implausible",3.2,178
"The housemaid washed the floor.","Plausible",6.8,179
"The housemaid washed the boat.","Implausible",4,179
"The housewife cleaned the table.","Plausible",6.3,180
"The housewife cleaned the shoe.","Implausible",5.45,180
"The illusionist performed the trick.","Plausible",5.05,181
"The illusionist performed the surgery.","Implausible",1.5,181
"The illustrator decorated the book.","Plausible",6.3,182
"The illustrator decorated the garden.","Implausible",3,182
"The illustrator drew the picture.","Plausible",6.3,183
"The illustrator drew the carriage.","Implausible",5.15,183
"The investor rented the land.","Plausible",4.05,184
"The investor rented the bicycle.","Implausible",2.35,184
"The jockey rode the horse.","Plausible",6.2,185
"The jockey rode the wave.","Implausible",1.6,185
"The journalist carried the article.","Plausible",6.15,186
"The journalist carried the milk.","Implausible",1.6,186
"The journalist wrote the article.","Plausible",6.85,187
"The journalist wrote the song.","Implausible",1.9,187
"The killer pulled the trigger.","Plausible",6.6,188
"The killer pulled the cart.","Implausible",2.5,188
"The knight held the sword.","Plausible",6.5,189
"The knight held the camera.","Implausible",2,189
"The librarian climbed the ladder.","Plausible",5.1,190
"The librarian climbed the tree.","Implausible",1.8,190
"The librarian stacked the book.","Plausible",6.5,191
"The librarian stacked the supply.","Implausible",3.85,191
"The lumberjack cut the tree.","Plausible",6.55,192
"The lumberjack cut the meat.","Implausible",3.3,192
"The lumberjack stacked the wood.","Plausible",6.75,193
"The lumberjack stacked the book.","Implausible",2.2,193
"The lumberjack used the saw.","Plausible",6.15,194
"The lumberjack used the lancet.","Implausible",2.75,194
"The magician read the hand.","Plausible",4.4,195
"The magician read the newspaper.","Implausible",4,195
"The manager rented the room.","Plausible",3.65,196
"The manager rented the kayak.","Implausible",2.75,196
"The mason built the house.","Plausible",6.45,197
"The mason built the snowman.","Implausible",2.3,197
"The mason fixed the roof.","Plausible",4.15,198
"The mason fixed the bike.","Implausible",1.55,198
"The mason fixed the wall.","Plausible",6.15,199
"The mason fixed the tire.","Implausible",3.25,199
"The mason mixed the cement.","Plausible",6.65,200
"The mason mixed the soup.","Implausible",1.95,200
"The mechanic assembled the bicycle.","Plausible",4.5,201
"The mechanic assembled the art.","Implausible",1.7,201
"The mechanic checked the tire.","Plausible",6.7,202
"The mechanic checked the groceries.","Implausible",2.3,202
"The mechanic fixed the tire.","Plausible",6.45,203
"The mechanic fixed the roof.","Implausible",2.1,203
"The mechanic rented the truck.","Plausible",4.2,204
"The mechanic rented the boat.","Implausible",2.35,204
"The mechanic spread the coating.","Plausible",3.65,205
"The mechanic spread the chocolate.","Implausible",1.65,205
"The milkman carried the bottle.","Plausible",6.7,206
"The milkman carried the flag.","Implausible",2.6,206
"The model faced the camera.","Plausible",6.9,207
"The model faced the mountain.","Implausible",2.75,207
"The monkey grabbed the banana.","Plausible",6.15,208
"The monkey grabbed the board.","Implausible",2.15,208
"The mother decorated the house.","Plausible",6.45,209
"The mother decorated the car.","Implausible",2.7,209
"The mother held the child.","Plausible",6.9,210
"The mother held the flag.","Implausible",3.2,210
"The mother hung the laundry.","Plausible",5.8,211
"The mother hung the rifle.","Implausible",2.35,211
"The mother prepared the food.","Plausible",6.4,212
"The mother prepared the gun.","Implausible",3.05,212
"The mother pushed the stroller.","Plausible",6.1,213
"The mother pushed the trash can.","Implausible",3.8,213
"The mover moved the furniture.","Plausible",4.9,214
"The mover moved the horse.","Implausible",2.85,214
"The musician entertained the crowd.","Plausible",6.4,215
"The musician entertained the demonstrator.","Implausible",4.2,215
"The musician held the guitar.","Plausible",6.55,216
"The musician held the stone.","Implausible",1.6,216
"The musician played the song.","Plausible",6.35,217
"The musician played the soccer.","Implausible",1.95,217
"The musician read the music.","Plausible",6.35,218
"The musician read the menu.","Implausible",2.45,218
"The musician touched the instrument.","Plausible",6.4,219
"The musician touched the base.","Implausible",3.95,219
"The nanny heard the baby.","Plausible",6.35,220
"The nanny heard the speech.","Implausible",3.2,220
"The nanny watched the child.","Plausible",6.35,221
"The nanny watched the landscape.","Implausible",4.05,221
"The nurse handed the lancet.","Plausible",5.8,222
"The nurse handed the hose.","Implausible",2.35,222
"The nurse pushed the wheelchair.","Plausible",5.9,223
"The nurse pushed the mower.","Implausible",1.45,223
"The nurse washed the infant.","Plausible",6.45,224
"The nurse washed the car.","Implausible",2.45,224
"The painter completed the painting.","Plausible",6.35,225
"The painter completed the race.","Implausible",2,225
"The painter decorated the wall.","Plausible",6.6,226
"The painter decorated the cake.","Implausible",2.6,226
"The painter mixed the paint.","Plausible",6.35,227
"The painter mixed the drink.","Implausible",2.8,227
"The painter painted the picture.","Plausible",6.7,228
"The painter painted the toenail.","Implausible",2.45,228
"The painter signed the paint.","Plausible",5.9,229
"The painter signed the agreement.","Implausible",3.65,229
"The parent gave the present.","Plausible",5.7,230
"The parent gave the gun.","Implausible",1.85,230
"The passenger bought the ticket.","Plausible",6.5,231
"The passenger bought the table.","Implausible",2.25,231
"The passenger passed the check.","Plausible",3.75,232
"The passenger passed the ball.","Implausible",2.05,232
"The passenger pulled the suitcase.","Plausible",5.6,233
"The passenger pulled the corpse.","Implausible",1.45,233
"The patient fought the cancer.","Plausible",5.65,234
"The patient fought the fire.","Implausible",1.95,234
"The patient reported the symptom.","Plausible",6.7,235
"The patient reported the crime.","Implausible",2.25,235
"The philologist examined the book.","Plausible",6.2,236
"The philologist examined the camera.","Implausible",2.3,236
"The photographer captured the image.","Plausible",6.95,237
"The photographer captured the thief.","Implausible",1.75,237
"The photographer examined the camera.","Plausible",6.7,238
"The photographer examined the dog.","Implausible",1.75,238
"The photographer prepared the camera.","Plausible",6.4,239
"The photographer prepared the food.","Implausible",2.7,239
"The photographer used the camera.","Plausible",6.65,240
"The photographer used the stethoscope.","Implausible",1.75,240
"The pilot began the race.","Plausible",4.8,241
"The pilot began the performance.","Implausible",2.4,241
"The pilot started the race.","Plausible",2.95,242
"The pilot started the concert.","Implausible",1.6,242
"The pilot won the race.","Plausible",4.8,243
"The pilot won the lottery.","Implausible",2.8,243
"The player began the match.","Plausible",5.7,244
"The player began the class.","Implausible",3.3,244
"The player enjoyed the game.","Plausible",6.65,245
"The player enjoyed the beer.","Implausible",4.5,245
"The player gained the ball.","Plausible",5.45,246
"The player gained the degree.","Implausible",3.2,246
"The player gathered the ball.","Plausible",5.55,247
"The player gathered the grass.","Implausible",2.4,247
"The player passed the ball.","Plausible",6.4,248
"The player passed the exam.","Implausible",4.45,248
"The player reached the goal.","Plausible",6.45,249
"The player reached the moon.","Implausible",1.6,249
"The player touched the base.","Plausible",5.5,250
"The player touched the flower.","Implausible",1.7,250
"The policeman captured the thief.","Plausible",6.8,252
"The policeman captured the image.","Implausible",2.9,252
"The policeman checked the bag.","Plausible",5.55,253
"The policeman checked the groceries.","Implausible",2,253
"The policeman examined the car.","Plausible",5.95,254
"The policeman examined the patient.","Implausible",2,254
"The policeman fought the crime.","Plausible",6.4,255
"The policeman fought the obesity.","Implausible",2.35,255
"The policeman hit the demonstrator.","Plausible",4.75,256
"The policeman hit the ball.","Implausible",2.7,256
"The policeman pushed the demonstrator.","Plausible",4.6,257
"The policeman pushed the stroller.","Implausible",2.6,257
"The politician signed the agreement.","Plausible",6.35,258
"The politician signed the paint.","Implausible",2.25,258
"The porter carried the bag.","Plausible",5.1,259
"The porter carried the flag.","Implausible",2.65,259
"The porter loaded the luggage.","Plausible",6.5,260
"The porter loaded the file.","Implausible",2.8,260
"The porter stacked the suitcase.","Plausible",5.5,261
"The porter stacked the wood.","Implausible",4,261
"The postman delivered the mail.","Plausible",6.55,262
"The postman delivered the punch.","Implausible",2.7,262
"The president delivered the speech.","Plausible",6.8,263
"The president delivered the kick.","Implausible",2.9,263
"The president gave the speech.","Plausible",6.8,264
"The president gave the book.","Implausible",3.75,264
"The president promised the reform.","Plausible",6.2,265
"The president promised the bicycle.","Implausible",2.25,265
"The president visited the school.","Plausible",4.25,266
"The president visited the grandmother.","Implausible",4.45,266
"The priest celebrated the marriage.","Plausible",6.5,267
"The priest celebrated the graduation.","Implausible",3.85,267
"The priest promised the salvation.","Plausible",6.05,268
"The priest promised the promotion.","Implausible",2.2,268
"The priest taught the bible.","Plausible",6.8,269
"The priest taught the chemistry.","Implausible",1.85,269
"The producer released the film.","Plausible",6.3,270
"The producer released the prisoner.","Implausible",1.6,270
"The professor delivered the lecture.","Plausible",6.6,271
"The professor delivered the kick.","Implausible",1.65,271
"The professor donated the book.","Plausible",4.8,272
"The professor donated the organ.","Implausible",2.35,272
"The professor opened the congress.","Plausible",3,273
"The professor opened the jail.","Implausible",1.2,273
"The professor taught the language.","Plausible",6,274
"The professor taught the karate.","Implausible",3.25,274
"The professor wore the tie.","Plausible",5.95,275
"The professor wore the goggles.","Implausible",4.7,275
"The professor wrote the book.","Plausible",5.5,276
"The professor wrote the magazine.","Implausible",3.6,276
"The programmer described the software.","Plausible",5.55,277
"The programmer described the monument.","Implausible",2.95,277
"The programmer loaded the file.","Plausible",6.65,278
"The programmer loaded the ammunition.","Implausible",1.75,278
"The programmer used the computer.","Plausible",7,279
"The programmer used the shovel.","Implausible",3.15,279
"The pupil drew the flower.","Plausible",4.85,280
"The pupil drew the turbine.","Implausible",2.95,280
"The pusher sold the drug.","Plausible",5.85,281
"The pusher sold the chocolate.","Implausible",3,281
"The pyromaniac started the fire.","Plausible",6.2,282
"The pyromaniac started the computer.","Implausible",1.8,282
"The receiver caught the baseball.","Plausible",4.75,283
"The receiver caught the wave.","Implausible",2.05,283
"The referee moved the ball.","Plausible",5.05,284
"The referee moved the furniture.","Implausible",1.7,284
"The refugee found the shelter.","Plausible",6,285
"The refugee found the doll.","Implausible",3.15,285
"The reporter brought the news.","Plausible",6.8,286
"The reporter brought the cake.","Implausible",1.85,286
"The reporter held the camera.","Plausible",4.5,287
"The reporter held the knife.","Implausible",1.85,287
"The roofer climbed the ladder.","Plausible",6.6,288
"The roofer climbed the rock.","Implausible",2.15,288
"The sailor faced the ocean.","Plausible",6.75,289
"The sailor faced the wall.","Implausible",2.1,289
"The sailor mopped the deck.","Plausible",4.6,290
"The sailor mopped the classroom.","Implausible",3.2,290
"The sailor tied the rope.","Plausible",6.25,291
"The sailor tied the necktie.","Implausible",3.5,291
"The salesperson sent the questionnaire.","Plausible",3.45,292
"The salesperson sent the gun.","Implausible",2.3,292
"The scientist reported the finding.","Plausible",6.4,293
"The scientist reported the marriage.","Implausible",1.65,293
"The scoutmaster assembled the tent.","Plausible",4.7,294
"The scoutmaster assembled the sailboat.","Implausible",4.25,294
"The sculptor carved the stone.","Plausible",5.55,295
"The sculptor carved the meat.","Implausible",2.45,295
"The sculptor taught the art.","Plausible",5.85,296
"The sculptor taught the skydiving.","Implausible",1.15,296
"The sergeant assigned the mission.","Plausible",6.6,298
"The sergeant assigned the homework.","Implausible",2.3,298
"The singer began the performance.","Plausible",6.5,299
"The singer began the race.","Implausible",3.4,299
"The singer held the microphone.","Plausible",6.55,300
"The singer held the sword.","Implausible",1.5,300
"The singer performed the music.","Plausible",6.7,301
"The singer performed the trick.","Implausible",2,301
"The singer recorded the song.","Plausible",6.8,302
"The singer recorded the recipe.","Implausible",1.65,302
"The singer started the concert.","Plausible",5.4,303
"The singer started the videogame.","Implausible",3.2,303
"The skater rode the skates.","Plausible",6.25,304
"The skater rode the bus.","Implausible",3.9,304
"The skier gained the speed.","Plausible",6.75,305
"The skier gained the ball.","Implausible",2.05,305
