good_sentence,bad_sentence,suite,suite_broad,wang2021_id,item_id
我 想 种 一 颗 红色 的 种子 。,我 想 种 一 朵 红色 的 种子 。,cls_adj,Classifier,21,42
我 经常 去 一 家 有名 的 医院 。,我 经常 去 一 座 有名 的 医院 。,cls_adj,Classifier,22,43
我 经常 去 一 座 有名 的 城市 。,我 经常 去 一 家 有名 的 城市 。,cls_adj,Classifier,22,44
他 买 了 一 道 昂贵 的 五彩 的 沙拉 。,他 买 了 一 处 昂贵 的 五彩 的 沙拉 。,cls_adj,Classifier,23,45
他 买 了 一 处 昂贵 的 五彩 的 仓库 。,他 买 了 一 道 昂贵 的 五彩 的 仓库 。,cls_adj,Classifier,23,46
我 拜访 了 这 一 所 重要 的 美丽 的 高中 。,我 拜访 了 这 一 位 重要 的 美丽 的 高中 。,cls_adj,Classifier,24,47
我 拜访 了 这 一 位 重要 的 美丽 的 老师 。,我 拜访 了 这 一 所 重要 的 美丽 的 老师 。,cls_adj,Classifier,24,48
他 在 读 一 条 很 长 的 评论 。,他 在 读 一 首 很 长 的 评论 。,cls_adj,Classifier,25,49
他 在 读 一 首 很 长 的 诗歌 。,他 在 读 一 条 很 长 的 诗歌 。,cls_adj,Classifier,25,50
她 从来 没 见 过 一 头 黄色 的 老虎 。,她 从来 没 见 过 一 双 黄色 的 老虎 。,cls_adj,Classifier,26,51
她 从来 没 见 过 一 双 黄色 的 眼睛 。,她 从来 没 见 过 一 头 黄色 的 眼睛 。,cls_adj,Classifier,26,52
我 还 没有 检查 一 份 很 难 的 作业 。,我 还 没有 检查 一 行 很 难 的 作业 。,cls_adj,Classifier,27,53
我 还 没有 检查 一 行 很 难 的 公式 。,我 还 没有 检查 一 份 很 难 的 公式 。,cls_adj,Classifier,27,54
孩子 听到 了 一 首 熟悉 的 歌谣 。,孩子 听到 了 一 张 熟悉 的 歌谣 。,cls_adj,Classifier,28,55
孩子 听到 了 一 张 熟悉 的 专辑 。,孩子 听到 了 一 首 熟悉 的 专辑 。,cls_adj,Classifier,28,56
护士 做 了 一 次 必需 的 检查 。,护士 做 了 一 篇 必需 的 检查 。,cls_adj,Classifier,29,57
护士 做 了 一 篇 必需 的 报告 。,护士 做 了 一 次 必需 的 报告 。,cls_adj,Classifier,29,58
这里 是 两 台 最新 的 电视 。,这里 是 两 份 最新 的 电视 。,cls_adj,Classifier,30,59
这里 是 两 份 最新 的 订单 。,这里 是 两 台 最新 的 订单 。,cls_adj,Classifier,30,60
我 记得 一 棵 绿色 的 松树 。,我 记得 一 片 绿色 的 松树 。,cls_adj,Classifier,31,61
我 记得 一 片 绿色 的 叶子 。,我 记得 一 棵 绿色 的 叶子 。,cls_adj,Classifier,31,62
他 很 欣赏 一 处 环保 的 景点 。,他 很 欣赏 一 位 环保 的 景点 。,cls_adj,Classifier,32,63
他 很 欣赏 一 位 环保 的 领导 。,他 很 欣赏 一 处 环保 的 领导 。,cls_adj,Classifier,32,64
那里 有 一 支 海上 的 舰队 。,那里 有 一 艘 海上 的 舰队 。,cls_adj,Classifier,33,65
那里 有 一 艘 海上 的 渔船 。,那里 有 一 支 海上 的 渔船 。,cls_adj,Classifier,33,66
我 很 喜欢 一 位 明星 。,我 很 喜欢 一 首 明星 。,cls_none,Classifier,1,67
我 很 喜欢 一 首 歌曲 。,我 很 喜欢 一 位 歌曲 。,cls_none,Classifier,1,68
她 开车 去 了 一 家 店 。,她 开车 去 了 一 座 店 。,cls_none,Classifier,2,69
她 开车 去 了 一 座 山 。,她 开车 去 了 一 家 山 。,cls_none,Classifier,2,70
他 有 一 双 手套 。,他 有 一 枚 手套 。,cls_none,Classifier,3,71
他 有 一 枚 纽扣 。,他 有 一 双 纽扣 。,cls_none,Classifier,3,72
店长 拿 着 一 只 兔子 。,店长 拿 着 一 根 兔子 。,cls_none,Classifier,4,73
店长 拿 着 一 根 萝卜 。,店长 拿 着 一 只 萝卜 。,cls_none,Classifier,4,74
她 提到 了 一 座 城堡 。,她 提到 了 一 面 城堡 。,cls_none,Classifier,5,75
她 提到 了 一 面 城墙 。,她 提到 了 一 座 城墙 。,cls_none,Classifier,5,76
他 认识 了 一 名 男孩 。,他 认识 了 一 本 男孩 。,cls_none,Classifier,6,77
他 认识 了 一 本 小说 。,他 认识 了 一 名 小说 。,cls_none,Classifier,6,78
男人 在 扫描 一 篇 文章 。,男人 在 扫描 一 张 文章 。,cls_none,Classifier,7,79
男人 在 扫描 一 张 图片 。,男人 在 扫描 一 篇 图片 。,cls_none,Classifier,7,80
演员 在 看 一 张 照片 。,演员 在 看 一 位 照片 。,cls_none,Classifier,8,81
演员 在 看 一 位 老师 。,演员 在 看 一 张 老师 。,cls_none,Classifier,8,82
他 在 修理 一 辆 汽车 。,他 在 修理 一 套 汽车 。,cls_none,Classifier,9,83
他 在 修理 一 套 系统 。,他 在 修理 一 辆 系统 。,cls_none,Classifier,9,84
学生 们 在 写 一 部 电影 。,学生 们 在 写 一 首 电影 。,cls_none,Classifier,10,85
学生 们 在 写 一 首 戏曲 。,学生 们 在 写 一 部 戏曲 。,cls_none,Classifier,10,86
我们 在 看 一 场 表演 。,我们 在 看 一 块 表演 。,cls_none,Classifier,11,87
我们 在 看 一 块 场地 。,我们 在 看 一 场 场地 。,cls_none,Classifier,11,88
他 最 喜欢 一 道 菜 。,他 最 喜欢 一 瓶 菜 。,cls_none,Classifier,12,89
他 最 喜欢 一 瓶 醋 。,他 最 喜欢 一 道 醋 。,cls_none,Classifier,12,90
她 拿 了 一 份 饭 。,她 拿 了 一 卷 饭 。,cls_none,Classifier,13,91
她 拿 了 一 卷 纸 。,她 拿 了 一 份 纸 。,cls_none,Classifier,13,92
学生 们 在 写 一 部 戏剧 。,学生 们 在 写 一 篇 戏剧 。,cls_none,Classifier,14,93
学生 们 在 写 一 篇 文章 。,学生 们 在 写 一 部 文章 。,cls_none,Classifier,14,94
这 是 一 辆 火车 。,这 是 一 扇 火车 。,cls_none,Classifier,15,95
这 是 一 扇 窗户 。,这 是 一 辆 窗户 。,cls_none,Classifier,15,96
老师 在 责备 三 名 学生 。,老师 在 责备 三 只 学生 。,cls_none,Classifier,16,97
老师 在 责备 三 只 宠物 。,老师 在 责备 三 名 宠物 。,cls_none,Classifier,16,98
她 买 过 两 杯 咖啡 。,她 买 过 两 个 咖啡 。,cls_none,Classifier,17,99
她 买 过 两 个 杯子 。,她 买 过 两 杯 杯子 。,cls_none,Classifier,17,100
孩子 在 卖 五 台 桌子 。,孩子 在 卖 五 块 桌子 。,cls_none,Classifier,18,101
孩子 在 卖 五 块 蛋糕 。,孩子 在 卖 五 台 蛋糕 。,cls_none,Classifier,18,102
妈妈 在 做 一 张 地图 。,妈妈 在 做 一 面 地图 。,cls_none,Classifier,19,103
妈妈 在 做 一 面 镜子 。,妈妈 在 做 一 张 镜子 。,cls_none,Classifier,19,104
爸爸 买 了 一 栋 房子 。,爸爸 买 了 一 条 房子 。,cls_none,Classifier,20,105
爸爸 买 了 一 条 沙发 。,爸爸 买 了 一 栋 沙发 。,cls_none,Classifier,20,106
我 想 种 一 朵 玫瑰 。,我 想 种 一 颗 玫瑰 。,cls_none,Classifier,21,107
我 想 种 一 颗 种子 。,我 想 种 一 朵 种子 。,cls_none,Classifier,21,108
我 经常 去 一 家 医院 。,我 经常 去 一 座 医院 。,cls_none,Classifier,22,109
我 经常 去 一 座 城市 。,我 经常 去 一 家 城市 。,cls_none,Classifier,22,110
他 买 了 一 道 沙拉 。,他 买 了 一 处 沙拉 。,cls_none,Classifier,23,111
他 买 了 一 处 仓库 。,他 买 了 一 道 仓库 。,cls_none,Classifier,23,112
我 拜访 了 这 一 所 高中 。,我 拜访 了 这 一 位 高中 。,cls_none,Classifier,24,113
我 拜访 了 这 一 位 老师 。,我 拜访 了 这 一 所 老师 。,cls_none,Classifier,24,114
他 在 读 一 条 评论 。,他 在 读 一 首 评论 。,cls_none,Classifier,25,115
他 在 读 一 首 诗歌 。,他 在 读 一 条 诗歌 。,cls_none,Classifier,25,116
她 从来 没 见 过 一 头 老虎 。,她 从来 没 见 过 一 双 老虎 。,cls_none,Classifier,26,117
她 从来 没 见 过 一 双 眼睛 。,她 从来 没 见 过 一 头 眼睛 。,cls_none,Classifier,26,118
我 还 没有 检查 一 份 作业 。,我 还 没有 检查 一 行 作业 。,cls_none,Classifier,27,119
我 还 没有 检查 一 行 公式 。,我 还 没有 检查 一 份 公式 。,cls_none,Classifier,27,120
孩子 听到 了 一 首 歌谣 。,孩子 听到 了 一 张 歌谣 。,cls_none,Classifier,28,121
孩子 听到 了 一 张 专辑 。,孩子 听到 了 一 首 专辑 。,cls_none,Classifier,28,122
护士 做 了 一 次 检查 。,护士 做 了 一 篇 检查 。,cls_none,Classifier,29,123
护士 做 了 一 篇 报告 。,护士 做 了 一 次 报告 。,cls_none,Classifier,29,124
这里 是 两 台 电视 。,这里 是 两 份 电视 。,cls_none,Classifier,30,125
这里 是 两 份 订单 。,这里 是 两 台 订单 。,cls_none,Classifier,30,126
我 记得 一 棵 松树 。,我 记得 一 片 松树 。,cls_none,Classifier,31,127
我 记得 一 片 叶子 。,我 记得 一 棵 叶子 。,cls_none,Classifier,31,128
他 很 欣赏 一 处 景点 。,他 很 欣赏 一 位 景点 。,cls_none,Classifier,32,129
他 很 欣赏 一 位 领导 。,他 很 欣赏 一 处 领导 。,cls_none,Classifier,32,130
那里 有 一 支 舰队 。,那里 有 一 艘 舰队 。,cls_none,Classifier,33,131
那里 有 一 艘 渔船 。,那里 有 一 支 渔船 。,cls_none,Classifier,33,132
我 很 喜欢 一 位 朋友 提到 的 明星 。,我 很 喜欢 一 首 朋友 提到 的 明星 。,cls_obj,Classifier,1,133
我 很 喜欢 一 首 朋友 提到 的 歌曲 。,我 很 喜欢 一 位 朋友 提到 的 歌曲 。,cls_obj,Classifier,1,134
她 开车 去 了 一 家 我 推荐 过 的 店 。,她 开车 去 了 一 座 我 推荐 过 的 店 。,cls_obj,Classifier,2,135
她 开车 去 了 一 座 我 推荐 过 的 山 。,她 开车 去 了 一 家 我 推荐 过 的 山 。,cls_obj,Classifier,2,136
他 有 一 双 我 穿 坏 了 的 手套 。,他 有 一 枚 我 穿 坏 了 的 手套 。,cls_obj,Classifier,3,137
他 有 一 枚 我 穿 坏 了 的 纽扣 。,他 有 一 双 我 穿 坏 了 的 纽扣 。,cls_obj,Classifier,3,138
店长 拿 着 一 只 他 买 的 兔子 。,店长 拿 着 一 根 他 买 的 兔子 。,cls_obj,Classifier,4,139
店长 拿 着 一 根 他 买 的 萝卜 。,店长 拿 着 一 只 他 买 的 萝卜 。,cls_obj,Classifier,4,140
她 提到 了 一 座 我们 想 拜访 的 城堡 。,她 提到 了 一 面 我们 想 拜访 的 城堡 。,cls_obj,Classifier,5,141
她 提到 了 一 面 我们 想 拜访 的 城墙 。,她 提到 了 一 座 我们 想 拜访 的 城墙 。,cls_obj,Classifier,5,142
他 认识 了 一 名 老师 描写 过 的 男孩 。,他 认识 了 一 本 老师 描写 过 的 男孩 。,cls_obj,Classifier,6,143
他 认识 了 一 本 老师 描写 过 的 小说 。,他 认识 了 一 名 老师 描写 过 的 小说 。,cls_obj,Classifier,6,144
男人 在 扫描 一 篇 今早 我 发 的 文章 。,男人 在 扫描 一 张 今早 我 发 的 文章 。,cls_obj,Classifier,7,145
男人 在 扫描 一 张 今早 我 发 的 图片 。,男人 在 扫描 一 篇 今早 我 发 的 图片 。,cls_obj,Classifier,7,146
演员 在 看 一 张 她 以前 拍 的 照片 。,演员 在 看 一 位 她 以前 拍 的 照片 。,cls_obj,Classifier,8,147
演员 在 看 一 位 她 以前 拍 的 老师 。,演员 在 看 一 张 她 以前 拍 的 老师 。,cls_obj,Classifier,8,148
他 在 修理 一 辆 我 使用 过 的 汽车 。,他 在 修理 一 套 我 使用 过 的 汽车 。,cls_obj,Classifier,9,149
他 在 修理 一 套 我 使用 过 的 系统 。,他 在 修理 一 辆 我 使用 过 的 系统 。,cls_obj,Classifier,9,150
学生 们 在 写 一 部 他 要 评价 的 电影 。,学生 们 在 写 一 首 他 要 评价 的 电影 。,cls_obj,Classifier,10,151
学生 们 在 写 一 首 他 要 评价 的 戏曲 。,学生 们 在 写 一 部 他 要 评价 的 戏曲 。,cls_obj,Classifier,10,152
我们 在 看 一 场 很多 人 看 的 表演 。,我们 在 看 一 块 很多 人 看 的 表演 。,cls_obj,Classifier,11,153
我们 在 看 一 块 很多 人 看 的 场地 。,我们 在 看 一 场 很多 人 看 的 场地 。,cls_obj,Classifier,11,154
他 最 喜欢 一 道 妈妈 做 的 菜 。,他 最 喜欢 一 瓶 妈妈 做 的 菜 。,cls_obj,Classifier,12,155
他 最 喜欢 一 瓶 妈妈 做 的 醋 。,他 最 喜欢 一 道 妈妈 做 的 醋 。,cls_obj,Classifier,12,156
她 拿 了 一 份 她 准备 的 饭 。,她 拿 了 一 卷 她 准备 的 饭 。,cls_obj,Classifier,13,157
她 拿 了 一 卷 她 准备 的 纸 。,她 拿 了 一 份 她 准备 的 纸 。,cls_obj,Classifier,13,158
学生 们 在读 一 部 老师 写 的 戏剧 。,学生 们 在读 一 篇 老师 写 的 戏剧 。,cls_obj,Classifier,14,159
学生 们 在读 一 篇 老师 写 的 文章 。,学生 们 在读 一 部 老师 写 的 文章 。,cls_obj,Classifier,14,160
这 是 一 辆 她 设计 的 火车 。,这 是 一 扇 她 设计 的 火车 。,cls_obj,Classifier,15,161
这 是 一 扇 她 设计 的 窗户 。,这 是 一 辆 她 设计 的 窗户 。,cls_obj,Classifier,15,162
老师 在 责备 三 名 他 责备 过 的 学生 。,老师 在 责备 三 只 他 责备 过 的 学生 。,cls_obj,Classifier,16,163
老师 在 责备 三 只 他 责备 过 的 宠物 。,老师 在 责备 三 名 他 责备 过 的 宠物 。,cls_obj,Classifier,16,164
她 买 过 两 杯 我 想要 的 咖啡 。,她 买 过 两 个 我 想要 的 咖啡 。,cls_obj,Classifier,17,165
她 买 过 两 个 我 想要 的 杯子 。,她 买 过 两 杯 我 想要 的 杯子 。,cls_obj,Classifier,17,166
孩子 在 卖 五 台 他 买 的 桌子 。,孩子 在 卖 五 块 他 买 的 桌子 。,cls_obj,Classifier,18,167
孩子 在 卖 五 块 他 买 的 蛋糕 。,孩子 在 卖 五 台 他 买 的 蛋糕 。,cls_obj,Classifier,18,168
妈妈 在 做 一 张 我 正在 用 的 地图 。,妈妈 在 做 一 面 我 正在 用 的 地图 。,cls_obj,Classifier,19,169
妈妈 在 做 一 面 我 正在 用 的 镜子 。,妈妈 在 做 一 张 我 正在 用 的 镜子 。,cls_obj,Classifier,19,170
爸爸 买 了 一 栋 他 听说 过 的 房子 。,爸爸 买 了 一 条 他 听说 过 的 房子 。,cls_obj,Classifier,20,171
爸爸 买 了 一 条 他 听说 过 的 沙发 。,爸爸 买 了 一 栋 他 听说 过 的 沙发 。,cls_obj,Classifier,20,172
我 想 种 一 朵 她 研究 过 的 玫瑰 。,我 想 种 一 颗 她 研究 过 的 玫瑰 。,cls_obj,Classifier,21,173
我 想 种 一 颗 她 研究 过 的 种子 。,我 想 种 一 朵 她 研究 过 的 种子 。,cls_obj,Classifier,21,174
我 经常 去 一 家 他 去年 去 过 的 医院 。,我 经常 去 一 座 他 去年 去 过 的 医院 。,cls_obj,Classifier,22,175
我 经常 去 一 座 他 去年 去 过 的 城市 。,我 经常 去 一 家 他 去年 去 过 的 城市 。,cls_obj,Classifier,22,176
他 买 了 一 道 邻居 正在 描述 的 沙拉 。,他 买 了 一 处 邻居 正在 描述 的 沙拉 。,cls_obj,Classifier,23,177
他 买 了 一 处 邻居 正在 描述 的 仓库 。,他 买 了 一 道 邻居 正在 描述 的 仓库 。,cls_obj,Classifier,23,178
我 拜访 了 这 一 所 我 怀念 的 高中 。,我 拜访 了 这 一 位 我 怀念 的 高中 。,cls_obj,Classifier,24,179
我 拜访 了 这 一 位 我 怀念 的 老师 。,我 拜访 了 这 一 所 我 怀念 的 老师 。,cls_obj,Classifier,24,180
他 在 读 一 条 网友 写 的 评论 。,他 在 读 一 首 网友 写 的 评论 。,cls_obj,Classifier,25,181
他 在 读 一 首 网友 写 的 诗歌 。,他 在 读 一 条 网友 写 的 诗歌 。,cls_obj,Classifier,25,182
她 从来 没 见 过 一 头 他 画 的 老虎 。,她 从来 没 见 过 一 双 他 画 的 老虎 。,cls_obj,Classifier,26,183
她 从来 没 见 过 一 双 他 画 的 眼睛 。,她 从来 没 见 过 一 头 他 画 的 眼睛 。,cls_obj,Classifier,26,184
我 还 没有 检查 一 份 他 刚刚 在 看 的 作业 。,我 还 没有 检查 一 行 他 刚刚 在 看 的 作业 。,cls_obj,Classifier,27,185
我 还 没有 检查 一 行 他 刚刚 在 看 的 公式 。,我 还 没有 检查 一 份 他 刚刚 在 看 的 公式 。,cls_obj,Classifier,27,186
孩子 听到 了 一 首 他 熟悉 的 歌谣 。,孩子 听到 了 一 张 他 熟悉 的 歌谣 。,cls_obj,Classifier,28,187
孩子 听到 了 一 张 他 熟悉 的 专辑 。,孩子 听到 了 一 首 他 熟悉 的 专辑 。,cls_obj,Classifier,28,188
护士 做 了 一 次 她 需要 做 的 检查 。,护士 做 了 一 篇 她 需要 做 的 检查 。,cls_obj,Classifier,29,189
护士 做 了 一 篇 她 需要 做 的 报告 。,护士 做 了 一 次 她 需要 做 的 报告 。,cls_obj,Classifier,29,190
这里 是 两 台 厂家 刚 接到 的 电视 。,这里 是 两 份 厂家 刚 接到 的 电视 。,cls_obj,Classifier,30,191
这里 是 两 份 厂家 刚 接到 的 订单 。,这里 是 两 台 厂家 刚 接到 的 订单 。,cls_obj,Classifier,30,192
我 记得 一 棵 他 种 的 松树 。,我 记得 一 片 他 种 的 松树 。,cls_obj,Classifier,31,193
我 记得 一 片 他 种 的 叶子 。,我 记得 一 棵 他 种 的 叶子 。,cls_obj,Classifier,31,194
他 很 欣赏 一 处 他 今天 见到 的 景点 。,他 很 欣赏 一 位 他 今天 见到 的 景点 。,cls_obj,Classifier,32,195
他 很 欣赏 一 位 他 今天 见到 的 领导 。,他 很 欣赏 一 处 他 今天 见到 的 领导 。,cls_obj,Classifier,32,196
那里 有 一 支 司令 安排 的 舰队 。,那里 有 一 艘 司令 安排 的 舰队 。,cls_obj,Classifier,33,197
那里 有 一 艘 司令 安排 的 渔船 。,那里 有 一 支 司令 安排 的 渔船 。,cls_obj,Classifier,33,198
我 很 喜欢 一 位 唱歌 好听 的 明星 。,我 很 喜欢 一 首 唱歌 好听 的 明星 。,cls_sub,Classifier,1,199
我 很 喜欢 一 首 令人 流泪 的 歌曲 。,我 很 喜欢 一 位 令人 流泪 的 歌曲 。,cls_sub,Classifier,1,200
她 开车 去 了 一 家 受 大家 欢迎 的 店 。,她 开车 去 了 一 座 受 大家 欢迎 的 店 。,cls_sub,Classifier,2,201
她 开车 去 了 一 座 受 大家 欢迎 的 山 。,她 开车 去 了 一 家 受 大家 欢迎 的 山 。,cls_sub,Classifier,2,202
他 有 一 双 被 我 丢 了 的 手套 。,他 有 一 枚 被 我 丢 了 的 手套 。,cls_sub,Classifier,3,203
他 有 一 枚 被 我 丢 了 的 纽扣 。,他 有 一 双 被 我 丢 了 的 纽扣 。,cls_sub,Classifier,3,204
店长 拿 着 一 只 已经 成熟 了 的 兔子 。,店长 拿 着 一 根 已经 成熟 了 的 兔子 。,cls_sub,Classifier,4,205
店长 拿 着 一 根 已经 成熟 了 的 萝卜 。,店长 拿 着 一 只 已经 成熟 了 的 萝卜 。,cls_sub,Classifier,4,206
她 提到 了 一 座 刚 被 修好 的 城堡 。,她 提到 了 一 面 刚 被 修好 的 城堡 。,cls_sub,Classifier,5,207
她 提到 了 一 面 刚 被 修好 的 城墙 。,她 提到 了 一 座 刚 被 修好 的 城墙 。,cls_sub,Classifier,5,208
他 认识 了 一 名 会 讲 故事 的 男孩 。,他 认识 了 一 本 会 讲 故事 的 男孩 。,cls_sub,Classifier,6,209
他 认识 了 一 本 会 讲 故事 的 小说 。,他 认识 了 一 名 会 讲 故事 的 小说 。,cls_sub,Classifier,6,210
男人 在 扫描 一 篇 今早 登报 了 的 文章 。,男人 在 扫描 一 张 今早 登报 了 的 文章 。,cls_sub,Classifier,7,211
男人 在 扫描 一 张 今早 登报 了 的 图片 。,男人 在 扫描 一 篇 今早 登报 了 的 图片 。,cls_sub,Classifier,7,212
演员 在 看 一 张 唤起 她 回忆 的 旧 照片 。,演员 在 看 一 位 唤起 她 回忆 的 旧 照片 。,cls_sub,Classifier,8,213
演员 在 看 一 位 唤起 她 回忆 的 老师 。,演员 在 看 一 张 唤起 她 回忆 的 老师 。,cls_sub,Classifier,8,214
他 在 修理 一 辆 无法 启动 的 汽车 。,他 在 修理 一 套 无法 启动 的 汽车 。,cls_sub,Classifier,9,215
他 在 修理 一 套 无法 启动 的 系统 。,他 在 修理 一 辆 无法 启动 的 系统 。,cls_sub,Classifier,9,216
学生 们 在 写 一 部 长 一个 小时 的 电影 。,学生 们 在 写 一 首 长 一个 小时 的 电影 。,cls_sub,Classifier,10,217
学生 们 在 写 一 首 长 一个 小时 的 戏曲 。,学生 们 在 写 一 部 长 一个 小时 的 戏曲 。,cls_sub,Classifier,10,218
我们 在 看 一 场 吸引 了 很多 观众 的 表演 。,我们 在 看 一 块 吸引 了 很多 观众 的 表演 。,cls_sub,Classifier,11,219
我们 在 看 一 块 吸引 了 很多 观众 的 场地 。,我们 在 看 一 场 吸引 了 很多 观众 的 场地 。,cls_sub,Classifier,11,220
他 最 喜欢 一 道 让 人 想念 的 菜 。,他 最 喜欢 一 瓶 让 人 想念 的 菜 。,cls_sub,Classifier,12,221
他 最 喜欢 一 瓶 让 人 想念 的 醋 。,他 最 喜欢 一 道 让 人 想念 的 醋 。,cls_sub,Classifier,12,222
她 拿 了 一 份 被 提供 给 客人 的 饭 。,她 拿 了 一 卷 被 提供 给 客人 的 饭 。,cls_sub,Classifier,13,223
她 拿 了 一 卷 被 提供 给 客人 的 纸 。,她 拿 了 一 份 被 提供 给 客人 的 纸 。,cls_sub,Classifier,13,224
学生 们 在 写 一 部 令人 感动 的 戏剧 。,学生 们 在 写 一 篇 令人 感动 的 戏剧 。,cls_sub,Classifier,14,225
学生 们 在 写 一 篇 令人 感动 的 文章 。,学生 们 在 写 一 部 令人 感动 的 文章 。,cls_sub,Classifier,14,226
这 是 一 辆 有 历史 的 火车 。,这 是 一 扇 有 历史 的 火车 。,cls_sub,Classifier,15,227
这 是 一 扇 有 历史 的 窗户 。,这 是 一 辆 有 历史 的 窗户 。,cls_sub,Classifier,15,228
