good_sentence,bad_sentence,suite,good_cond,bad_cond,syntaxgym_id,item_id
The toilet that the worker fixed clogged.,The toilet that the worker clogged fixed.,center_embed,plaus,implaus,26,26
The window that the boy wiped shattered.,The window that the boy shattered wiped.,center_embed,plaus,implaus,27,27
The child that the shadow frightened yelled.,The child that the shadow yelled frightened.,center_embed,plaus,implaus,28,28
The painting that the artist who lived long ago painted deteriorated.,The painting that the artist who lived long ago deteriorated painted.,center_embed_mod,plaus,implaus,1,29
The storm that the captain with the black hair feared subsided.,The storm that the captain with the black hair subsided feared.,center_embed_mod,plaus,implaus,2,30
The girl that the bug with the green wings frightened shouted.,The girl that the bug with the green wings shouted frightened.,center_embed_mod,plaus,implaus,3,31
The baby that the woman waiting in the street held yelled.,The baby that the woman waiting in the street yelled held.,center_embed_mod,plaus,implaus,4,32
The soldier that the bullet with the exploding tip wounded died.,The soldier that the bullet with the exploding tip died wounded.,center_embed_mod,plaus,implaus,5,33
The storm that the scientist from the famous university predicted intensified.,The storm that the scientist from the famous university intensified predicted.,center_embed_mod,plaus,implaus,6,34
The convict that the cop from the neighboring city arrested escaped.,The convict that the cop from the neighboring city escaped arrested.,center_embed_mod,plaus,implaus,7,35
The computer that the secretary with the blue dress bought crashed.,The computer that the secretary with the blue dress crashed bought.,center_embed_mod,plaus,implaus,8,36
The floor that the maid with the strong arms swept cracked.,The floor that the maid with the strong arms cracked swept.,center_embed_mod,plaus,implaus,9,37
The yacht that the millionaires who everyone dislikes bought sank.,The yacht that the millionaires who everyone dislikes sank bought.,center_embed_mod,plaus,implaus,10,38
The shirt that the man who lives down the block bought ripped.,The shirt that the man who lives down the block ripped bought.,center_embed_mod,plaus,implaus,11,39
The water that the maid in the white uniform poured evaporated.,The water that the maid in the white uniform evaporated poured.,center_embed_mod,plaus,implaus,12,40
The building that the workers from the local union built collapsed.,The building that the workers from the local union collapsed built.,center_embed_mod,plaus,implaus,13,41
The bones that the doctor in the white jacket examined broke.,The bones that the doctor in the white jacket broke examined.,center_embed_mod,plaus,implaus,14,42
The building that the workers in the green pants repaired deteriorated.,The building that the workers in the green pants deteriorated repaired.,center_embed_mod,plaus,implaus,15,43
The ship that the workers in the blue uniforms built sank.,The ship that the workers in the blue uniforms sank built.,center_embed_mod,plaus,implaus,16,44
The horse that the boy from the local town rode bucked.,The horse that the boy from the local town bucked rode.,center_embed_mod,plaus,implaus,17,45
The water that the chef in the tall white hat needed evaporated.,The water that the chef in the tall white hat evaporated needed.,center_embed_mod,plaus,implaus,18,46
The tree that the old man from the small town cut fell.,The tree that the old man from the small town fell cut.,center_embed_mod,plaus,implaus,19,47
The letter that the author from the big city wrote arrived.,The letter that the author from the big city arrived wrote.,center_embed_mod,plaus,implaus,20,48
The glass that the athlete in the red shirt hit cracked.,The glass that the athlete in the red shirt cracked hit.,center_embed_mod,plaus,implaus,21,49
The bomb that the terrorist from the foreign country built exploded.,The bomb that the terrorist from the foreign country exploded built.,center_embed_mod,plaus,implaus,22,50
The meat that the man in the green jacket cooked burned.,The meat that the man in the green jacket burned cooked.,center_embed_mod,plaus,implaus,23,51
The sugar that the visitor from the south of France bought dissolved.,The sugar that the visitor from the south of France dissolved bought.,center_embed_mod,plaus,implaus,24,52
The pants that the woman in the green dress bought ripped.,The pants that the woman in the green dress ripped bought.,center_embed_mod,plaus,implaus,25,53
The toilet that the worker who we all respect fixed clogged.,The toilet that the worker who we all respect clogged fixed.,center_embed_mod,plaus,implaus,26,54
The window that the boy in the blue shirt wiped shattered.,The window that the boy in the blue shirt shattered wiped.,center_embed_mod,plaus,implaus,27,55
The child that the shadow in the corner of the room frightened yelled.,The child that the shadow in the corner of the room yelled frightened.,center_embed_mod,plaus,implaus,28,56
What he ate was the meal.,What he did was the meal.,cleft,np_match,np_mismatch,1,57
What he did was prepare the meal.,What he ate was prepare the meal.,cleft,vp_match,vp_mismatch,1,58
What the young man planted was the crops.,What the young man did was the crops.,cleft,np_match,np_mismatch,2,59
What the young man did was plant the crops.,What the young man planted was plant the crops.,cleft,vp_match,vp_mismatch,2,60
What the worker repaired was the plane.,What the worker did was the plane.,cleft,np_match,np_mismatch,3,61
What the worker did was board the plane.,What the worker repaired was board the plane.,cleft,vp_match,vp_mismatch,3,62
What the fan sold was the tickets.,What the fan did was the tickets.,cleft,np_match,np_mismatch,4,63
What the fan did was buy the tickets.,What the fan sold was buy the tickets.,cleft,vp_match,vp_mismatch,4,64
What the young woman wiped was the toilet.,What the young woman did was the toilet.,cleft,np_match,np_mismatch,5,65
What the young woman did was flush the toilet.,What the young woman wiped was flush the toilet.,cleft,vp_match,vp_mismatch,5,66
What the fans watched was the game.,What the fans did was the game.,cleft,np_match,np_mismatch,6,67
What the fans did was lose the game.,What the fans watched was lose the game.,cleft,vp_match,vp_mismatch,6,68
What the gardener trimmed was the tree.,What the gardener did was the tree.,cleft,np_match,np_mismatch,7,69
What the gardener did was plant the tree.,What the gardener trimmed was plant the tree.,cleft,vp_match,vp_mismatch,7,70
What the old man bought was the flag.,What the old man did was the flag.,cleft,np_match,np_mismatch,8,71
What the old man did was raise the flag.,What the old man bought was raise the flag.,cleft,vp_match,vp_mismatch,8,72
What the old man cooked was the chicken.,What the old man did was the chicken.,cleft,np_match,np_mismatch,9,73
What the old man did was hunt the chicken.,What the old man cooked was hunt the chicken.,cleft,vp_match,vp_mismatch,9,74
What the workers walked down was the sidewalk.,What the workers did was the sidewalk.,cleft,np_match,np_mismatch,10,75
What the workers did was pave the sidewalk.,What the workers walked down was pave the sidewalk.,cleft,vp_match,vp_mismatch,10,76
Who the mother fed was the baby.,Who the mother did was the baby.,cleft,np_match,np_mismatch,11,77
Who the mother did was hug the baby.,Who the mother fed was hug the baby.,cleft,vp_match,vp_mismatch,11,78
What the old woman bought was the apartment.,What the old woman did was the apartment.,cleft,np_match,np_mismatch,12,79
What the old woman did was furnish the apartment.,What the old woman bought was furnish the apartment.,cleft,vp_match,vp_mismatch,12,80
What the guards concocted was the plot.,What the guards did was the plot.,cleft,np_match,np_mismatch,13,81
What the guards did was thwart the plot.,What the guards concocted was thwart the plot.,cleft,vp_match,vp_mismatch,13,82
What the senator sponsored was the bill.,What the senator did was the bill.,cleft,np_match,np_mismatch,14,83
What the senator did was veto the bill.,What the senator sponsored was veto the bill.,cleft,vp_match,vp_mismatch,14,84
What the representatives wrote was the law.,What the representatives did was the law.,cleft,np_match,np_mismatch,15,85
What the representatives did was repeal the law.,What the representatives wrote was repeal the law.,cleft,vp_match,vp_mismatch,15,86
What the old woman fed was the cats.,What the old woman did was the cats.,cleft,np_match,np_mismatch,16,87
What the old woman did was stroke the cats.,What the old woman fed was stroke the cats.,cleft,vp_match,vp_mismatch,16,88
What the army loved was the country.,What the army did was the country.,cleft,np_match,np_mismatch,17,89
What the army did was invade the country.,What the army loved was invade the country.,cleft,vp_match,vp_mismatch,17,90
Who the soldier battled was the enemy.,Who the soldier did was the enemy.,cleft,np_match,np_mismatch,18,91
Who the soldier did was attack the enemy.,Who the soldier battled was attack the enemy.,cleft,vp_match,vp_mismatch,18,92
What the novelist wrote was the book.,What the novelist did was the book.,cleft,np_match,np_mismatch,19,93
What the novelist did was borrow the book.,What the novelist wrote was borrow the book.,cleft,vp_match,vp_mismatch,19,94
What the worker installed was the door.,What the worker did was the door.,cleft,np_match,np_mismatch,20,95
What the worker did was lock the door.,What the worker installed was lock the door.,cleft,vp_match,vp_mismatch,20,96
What the workers painted was the wall.,What the workers did was the wall.,cleft,np_match,np_mismatch,21,97
What the workers did was reinforce the wall.,What the workers painted was reinforce the wall.,cleft,vp_match,vp_mismatch,21,98
What the actor wrote was the story.,What the actor did was the story.,cleft,np_match,np_mismatch,22,99
What the actor did was tell the story.,What the actor wrote was tell the story.,cleft,vp_match,vp_mismatch,22,100
What the tourists traveled towards was the destination.,What the tourists did was the destination.,cleft,np_match,np_mismatch,23,101
What the tourists did was reach the destination.,What the tourists traveled towards was reach the destination.,cleft,vp_match,vp_mismatch,23,102
What the men repaired was the city.,What the men did was the city.,cleft,np_match,np_mismatch,24,103
What the men did was defend the city.,What the men repaired was defend the city.,cleft,vp_match,vp_mismatch,24,104
What he sent was the package.,What he did was the package.,cleft,np_match,np_mismatch,25,105
What he did was deliver the package.,What he sent was deliver the package.,cleft,vp_match,vp_mismatch,25,106
What she wrote was the contract.,What she did was the contract.,cleft,np_match,np_mismatch,26,107
What she did was renew the contract.,What she wrote was renew the contract.,cleft,vp_match,vp_mismatch,26,108
What he spread was the rumor.,What he did was the rumor.,cleft,np_match,np_mismatch,27,109
What he did was confirm the rumor.,What he spread was confirm the rumor.,cleft,vp_match,vp_mismatch,27,110
Who they rebuked was the politician.,Who they did was the politician.,cleft,np_match,np_mismatch,28,111
Who they did was murder the politician.,Who they rebuked was murder the politician.,cleft,vp_match,vp_mismatch,28,112
Who the police caught was the suspect.,Who the police did was the suspect.,cleft,np_match,np_mismatch,29,113
Who the police did was monitor the suspect.,Who the police caught was monitor the suspect.,cleft,vp_match,vp_mismatch,29,114
What the people collected was the trash.,What the people did was the trash.,cleft,np_match,np_mismatch,30,115
What the people did was remove the trash.,What the people collected was remove the trash.,cleft,vp_match,vp_mismatch,30,116
What the teacher taught was the subject.,What the teacher did was the subject.,cleft,np_match,np_mismatch,31,117
What the teacher did was write about the subject.,What the teacher taught was write about the subject.,cleft,vp_match,vp_mismatch,31,118
What they bought was the drugs.,What they did was the drugs.,cleft,np_match,np_mismatch,32,119
What they did was transport the drugs.,What they bought was transport the drugs.,cleft,vp_match,vp_mismatch,32,120
Who he called was his friend.,Who he did was his friend.,cleft,np_match,np_mismatch,33,121
Who he did was hug his friend.,Who he called was hug his friend.,cleft,vp_match,vp_mismatch,33,122
What she bought was the shipment.,What she did was the shipment.,cleft,np_match,np_mismatch,34,123
What she did was transport the shipment.,What she bought was transport the shipment.,cleft,vp_match,vp_mismatch,34,124
What we won was the argument.,What we did was the argument.,cleft,np_match,np_mismatch,35,125
What we did was make the argument.,What we won was make the argument.,cleft,vp_match,vp_mismatch,35,126
Who you contracted was the worker.,Who you did was the worker.,cleft,np_match,np_mismatch,36,127
Who you did was hire the worker.,Who you contracted was hire the worker.,cleft,vp_match,vp_mismatch,36,128
What he created was a painting.,What he did was a painting.,cleft,np_match,np_mismatch,37,129
What he did was paint a painting.,What he created was paint a painting.,cleft,vp_match,vp_mismatch,37,130
What the woman wrote was the letter.,What the woman did was the letter.,cleft,np_match,np_mismatch,38,131
What the woman did was mail the letter.,What the woman wrote was mail the letter.,cleft,vp_match,vp_mismatch,38,132
What the maid broke was the glass.,What the maid did was the glass.,cleft,np_match,np_mismatch,39,133
What the maid did was empty the glass.,What the maid broke was empty the glass.,cleft,vp_match,vp_mismatch,39,134
Who the judge accused was the criminal.,Who the judge did was the criminal.,cleft,np_match,np_mismatch,40,135
Who the judge did was sentence the criminal.,Who the judge accused was sentence the criminal.,cleft,vp_match,vp_mismatch,40,136
What he ate after the ingredients had been bought from the store was the meal.,What he did after the ingredients had been bought from the store was the meal.,cleft_modifier,np_match,np_mismatch,1,137
What he did after the ingredients had been bought from the store was prepare the meal.,What he ate after the ingredients had been bought from the store was prepare the meal.,cleft_modifier,vp_match,vp_mismatch,1,138
What the young man planted when the weather turned warm in the spring was the crops.,What the young man did when the weather turned warm in the spring was the crops.,cleft_modifier,np_match,np_mismatch,2,139
What the young man did when the weather turned warm in the spring was plant the crops.,What the young man planted when the weather turned warm in the spring was plant the crops.,cleft_modifier,vp_match,vp_mismatch,2,140
What the worker repaired after the gate agent made the final announcement about the flight was the plane.,What the worker did after the gate agent made the final announcement about the flight was the plane.,cleft_modifier,np_match,np_mismatch,3,141
What the worker did after the gate agent made the final announcement about the flight was board the plane.,What the worker repaired after the gate agent made the final announcement about the flight was board the plane.,cleft_modifier,vp_match,vp_mismatch,3,142
What the fan sold when his favorite team made it to the championship was the tickets.,What the fan did when his favorite team made it to the championship was the tickets.,cleft_modifier,np_match,np_mismatch,4,143
What the fan did when his favorite team made it to the championship was buy the tickets.,What the fan sold when his favorite team made it to the championship was buy the tickets.,cleft_modifier,vp_match,vp_mismatch,4,144
What the young woman wiped when she was finished cleaning the sink was the toilet.,What the young woman did when she was finished cleaning the sink was the toilet.,cleft_modifier,np_match,np_mismatch,5,145
What the young woman did when she was finished cleaning the sink was flush the toilet.,What the young woman wiped when she was finished cleaning the sink was flush the toilet.,cleft_modifier,vp_match,vp_mismatch,5,146
What the fans watched when their team played against the rival team was the game.,What the fans did when their team played against the rival team was the game.,cleft_modifier,np_match,np_mismatch,6,147
What the fans did when their team played against the rival team was lose the game.,What the fans watched when their team played against the rival team was lose the game.,cleft_modifier,vp_match,vp_mismatch,6,148
What the gardener trimmed before the other vegetables had been planted was the tree.,What the gardener did before the other vegetables had been planted was the tree.,cleft_modifier,np_match,np_mismatch,7,149
What the gardener did before the other vegetables had been planted was plant the tree.,What the gardener trimmed before the other vegetables had been planted was plant the tree.,cleft_modifier,vp_match,vp_mismatch,7,150
What the old man bought every morning before leaving for work was the flag.,What the old man did every morning before leaving for work was the flag.,cleft_modifier,np_match,np_mismatch,8,151
What the old man did every morning before leaving for work was raise the flag.,What the old man bought every morning before leaving for work was raise the flag.,cleft_modifier,vp_match,vp_mismatch,8,152
What the old man cooked after he had walked across the field and the forest was the chicken.,What the old man did after he had walked across the field and the forest was the chicken.,cleft_modifier,np_match,np_mismatch,9,153
What the old man did after he had walked across the field and the forest was hunt the chicken.,What the old man cooked after he had walked across the field and the forest was hunt the chicken.,cleft_modifier,vp_match,vp_mismatch,9,154
What the workers walked down after they signed a contract with the city government was the sidewalk.,What the workers did after they signed a contract with the city government was the sidewalk.,cleft_modifier,np_match,np_mismatch,10,155
What the workers did after they signed a contract with the city government was pave the sidewalk.,What the workers walked down after they signed a contract with the city government was pave the sidewalk.,cleft_modifier,vp_match,vp_mismatch,10,156
Who the mother fed after she got home from a long journey was the baby.,Who the mother did after she got home from a long journey was the baby.,cleft_modifier,np_match,np_mismatch,11,157
Who the mother did after she got home from a long journey was hug the baby.,Who the mother fed after she got home from a long journey was hug the baby.,cleft_modifier,vp_match,vp_mismatch,11,158
What the old woman bought after she received the letter at the end of the month was the apartment.,What the old woman did after she received the letter at the end of the month was the apartment.,cleft_modifier,np_match,np_mismatch,12,159
What the old woman did after she received the letter at the end of the month was furnish the apartment.,What the old woman bought after she received the letter at the end of the month was furnish the apartment.,cleft_modifier,vp_match,vp_mismatch,12,160
What the guards concocted after they discovered the evidence hidden behind the wall was the plot.,What the guards did after they discovered the evidence hidden behind the wall was the plot.,cleft_modifier,np_match,np_mismatch,13,161
What the guards did after they discovered the evidence hidden behind the wall was thwart the plot.,What the guards concocted after they discovered the evidence hidden behind the wall was thwart the plot.,cleft_modifier,vp_match,vp_mismatch,13,162
What the senator sponsored after she talked with her colleague from the opposition party was the bill.,What the senator did after she talked with her colleague from the opposition party was the bill.,cleft_modifier,np_match,np_mismatch,14,163
What the senator did after she talked with her colleague from the opposition party was veto the bill.,What the senator sponsored after she talked with her colleague from the opposition party was veto the bill.,cleft_modifier,vp_match,vp_mismatch,14,164
What the representatives wrote before talking to the journalists was the law.,What the representatives did before talking to the journalists was the law.,cleft_modifier,np_match,np_mismatch,15,165
What the representatives did before talking to the journalists was repeal the law.,What the representatives wrote before talking to the journalists was repeal the law.,cleft_modifier,vp_match,vp_mismatch,15,166
What the old woman fed after she got home from having dinner with a friend was the cats.,What the old woman did after she got home from having dinner with a friend was the cats.,cleft_modifier,np_match,np_mismatch,16,167
What the old woman did after she got home from having dinner with a friend was stroke the cats.,What the old woman fed after she got home from having dinner with a friend was stroke the cats.,cleft_modifier,vp_match,vp_mismatch,16,168
What the army loved after going through basic training and listening to propaganda was the country.,What the army did after going through basic training and listening to propaganda was the country.,cleft_modifier,np_match,np_mismatch,17,169
What the army did after going through basic training and listening to propaganda was invade the country.,What the army loved after going through basic training and listening to propaganda was invade the country.,cleft_modifier,vp_match,vp_mismatch,17,170
Who the soldier battled when he discovered that he was the only fighter left alive was the enemy.,Who the soldier did when he discovered that he was the only fighter left alive was the enemy.,cleft_modifier,np_match,np_mismatch,18,171
Who the soldier did when he discovered that he was the only fighter left alive was attack the enemy.,Who the soldier battled when he discovered that he was the only fighter left alive was attack the enemy.,cleft_modifier,vp_match,vp_mismatch,18,172
What the novelist wrote before she received the big prize was the book.,What the novelist did before she received the big prize was the book.,cleft_modifier,np_match,np_mismatch,19,173
What the novelist did before she received the big prize was borrow the book.,What the novelist wrote before she received the big prize was borrow the book.,cleft_modifier,vp_match,vp_mismatch,19,174
What the worker installed after entering the job site was the door.,What the worker did after entering the job site was the door.,cleft_modifier,np_match,np_mismatch,20,175
What the worker did after entering the job site was lock the door.,What the worker installed after entering the job site was lock the door.,cleft_modifier,vp_match,vp_mismatch,20,176
What the workers painted two weeks ago when the job had only just begun was the wall.,What the workers did two weeks ago when the job had only just begun was the wall.,cleft_modifier,np_match,np_mismatch,21,177
What the workers did two weeks ago when the job had only just begun was reinforce the wall.,What the workers painted two weeks ago when the job had only just begun was reinforce the wall.,cleft_modifier,vp_match,vp_mismatch,21,178
What the actor wrote when he found himself out of money was the story.,What the actor did when he found himself out of money was the story.,cleft_modifier,np_match,np_mismatch,22,179
What the actor did when he found himself out of money was tell the story.,What the actor wrote when he found himself out of money was tell the story.,cleft_modifier,vp_match,vp_mismatch,22,180
What the tourists traveled towards after finally landing in the foreign country was the destination.,What the tourists did after finally landing in the foreign country was the destination.,cleft_modifier,np_match,np_mismatch,23,181
What the tourists did after finally landing in the foreign country was reach the destination.,What the tourists traveled towards after finally landing in the foreign country was reach the destination.,cleft_modifier,vp_match,vp_mismatch,23,182
What the men repaired after they received shipments of supplies from their allies was the city.,What the men did after they received shipments of supplies from their allies was the city.,cleft_modifier,np_match,np_mismatch,24,183
What the men did after they received shipments of supplies from their allies was defend the city.,What the men repaired after they received shipments of supplies from their allies was defend the city.,cleft_modifier,vp_match,vp_mismatch,24,184
What he sent before driving to the next town was the package.,What he did before driving to the next town was the package.,cleft_modifier,np_match,np_mismatch,25,185
What he did before driving to the next town was deliver the package.,What he sent before driving to the next town was deliver the package.,cleft_modifier,vp_match,vp_mismatch,25,186
What she wrote after talking to her lawyers about the situation was the contract.,What she did after talking to her lawyers about the situation was the contract.,cleft_modifier,np_match,np_mismatch,26,187
What she did after talking to her lawyers about the situation was renew the contract.,What she wrote after talking to her lawyers about the situation was renew the contract.,cleft_modifier,vp_match,vp_mismatch,26,188
What he spread when he found out that many people were asking similar questions was the rumor.,What he did when he found out that many people were asking similar questions was the rumor.,cleft_modifier,np_match,np_mismatch,27,189
What he did when he found out that many people were asking similar questions was confirm the rumor.,What he spread when he found out that many people were asking similar questions was confirm the rumor.,cleft_modifier,vp_match,vp_mismatch,27,190
Who they rebuked when they felt that no other options were available to them was the politician.,Who they did when they felt that no other options were available to them was the politician.,cleft_modifier,np_match,np_mismatch,28,191
Who they did when they felt that no other options were available to them was murder the politician.,Who they rebuked when they felt that no other options were available to them was murder the politician.,cleft_modifier,vp_match,vp_mismatch,28,192
Who the police caught between the trial and the sentencing was the suspect.,Who the police did between the trial and the sentencing was the suspect.,cleft_modifier,np_match,np_mismatch,29,193
Who the police did between the trial and the sentencing was monitor the suspect.,Who the police caught between the trial and the sentencing was monitor the suspect.,cleft_modifier,vp_match,vp_mismatch,29,194
What the people collected every Thursday morning before work was the trash.,What the people did every Thursday morning before work was the trash.,cleft_modifier,np_match,np_mismatch,30,195
What the people did every Thursday morning before work was remove the trash.,What the people collected every Thursday morning before work was remove the trash.,cleft_modifier,vp_match,vp_mismatch,30,196
What the teacher taught after school during the summer was the subject.,What the teacher did after school during the summer was the subject.,cleft_modifier,np_match,np_mismatch,31,197
What the teacher did after school during the summer was write about the subject.,What the teacher taught after school during the summer was write about the subject.,cleft_modifier,vp_match,vp_mismatch,31,198
What they bought in the middle of the night was the drugs.,What they did in the middle of the night was the drugs.,cleft_modifier,np_match,np_mismatch,32,199
What they did in the middle of the night was transport the drugs.,What they bought in the middle of the night was transport the drugs.,cleft_modifier,vp_match,vp_mismatch,32,200
Who he called after he found out the horrible news was his friend.,Who he did after he found out the horrible news was his friend.,cleft_modifier,np_match,np_mismatch,33,201
Who he did after he found out the horrible news was hug his friend.,Who he called after he found out the horrible news was hug his friend.,cleft_modifier,vp_match,vp_mismatch,33,202
What she bought when she received the contract that had been signed by all the parties was the shipment.,What she did when she received the contract that had been signed by all the parties was the shipment.,cleft_modifier,np_match,np_mismatch,34,203
What she did when she received the contract that had been signed by all the parties was transport the shipment.,What she bought when she received the contract that had been signed by all the parties was transport the shipment.,cleft_modifier,vp_match,vp_mismatch,34,204
What we won after we graduated from law school was the argument.,What we did after we graduated from law school was the argument.,cleft_modifier,np_match,np_mismatch,35,205
What we did after we graduated from law school was make the argument.,What we won after we graduated from law school was make the argument.,cleft_modifier,vp_match,vp_mismatch,35,206
Who you contracted when you heard that the building was going to be destroyed was the worker.,Who you did when you heard that the building was going to be destroyed was the worker.,cleft_modifier,np_match,np_mismatch,36,207
Who you did when you heard that the building was going to be destroyed was hire the worker.,Who you contracted when you heard that the building was going to be destroyed was hire the worker.,cleft_modifier,vp_match,vp_mismatch,36,208
What he created in his spare time was a painting.,What he did in his spare time was a painting.,cleft_modifier,np_match,np_mismatch,37,209
What he did in his spare time was paint a painting.,What he created in his spare time was paint a painting.,cleft_modifier,vp_match,vp_mismatch,37,210
What the woman wrote after hearing the troubling news was the letter.,What the woman did after hearing the troubling news was the letter.,cleft_modifier,np_match,np_mismatch,38,211
What the woman did after hearing the troubling news was mail the letter.,What the woman wrote after hearing the troubling news was mail the letter.,cleft_modifier,vp_match,vp_mismatch,38,212
What the maid broke after he cleared the table was the glass.,What the maid did after he cleared the table was the glass.,cleft_modifier,np_match,np_mismatch,39,213
What the maid did after he cleared the table was empty the glass.,What the maid broke after he cleared the table was empty the glass.,cleft_modifier,vp_match,vp_mismatch,39,214
Who the judge accused after he heard all the arguments from both legal teams was the criminal.,Who the judge did after he heard all the arguments from both legal teams was the criminal.,cleft_modifier,np_match,np_mismatch,40,215
Who the judge did after he heard all the arguments from both legal teams was sentence the criminal.,Who the judge accused after he heard all the arguments from both legal teams was sentence the criminal.,cleft_modifier,vp_match,vp_mismatch,40,216
I know that our mother said her friend remarked that the park attendant reported your friend threw the plastic into the trash can.,I know what our mother said her friend remarked that the park attendant reported your friend threw the plastic into the trash can.,fgd-embed3,that_no-gap,what_no-gap,1,217
I know what our mother said her friend remarked that the park attendant reported your friend threw into the trash can.,I know that our mother said her friend remarked that the park attendant reported your friend threw into the trash can.,fgd-embed3,what_gap,that_gap,1,218
The accountant knew that the security guard believed his friend knew the assistant reported the secretary introduced the new woman to her friend.,The accountant knew who the security guard believed his friend knew the assistant reported the secretary introduced the new woman to her friend.,fgd-embed3,that_no-gap,what_no-gap,2,219
The accountant knew who the security guard believed his friend knew the assistant reported the secretary introduced to her friend.,The accountant knew that the security guard believed his friend knew the assistant reported the secretary introduced to her friend.,fgd-embed3,what_gap,that_gap,2,220
The assistant told me that the man knew his friend recalled the woman said the pilot sent the package to his family.,The assistant told me what the man knew his friend recalled the woman said the pilot sent the package to his family.,fgd-embed3,that_no-gap,what_no-gap,3,221
The assistant told me what the man knew his friend recalled the woman said the pilot sent to his family.,The assistant told me that the man knew his friend recalled the woman said the pilot sent to his family.,fgd-embed3,what_gap,that_gap,3,222
We discovered that the delivery boy remarked that the worker said that the gardener knew the funny actor told a story about the woman.,We discovered what the delivery boy remarked that the worker said that the gardener knew the funny actor told a story about the woman.,fgd-embed3,that_no-gap,what_no-gap,4,223
We discovered what the delivery boy remarked that the worker said that the gardener knew the funny actor told about the woman.,We discovered that the delivery boy remarked that the worker said that the gardener knew the funny actor told about the woman.,fgd-embed3,what_gap,that_gap,4,224
The neighbors found out that her mother heard the newspaper reported the mayor said the young woman bought a gift for her parents.,The neighbors found out what her mother heard the newspaper reported the mayor said the young woman bought a gift for her parents.,fgd-embed3,that_no-gap,what_no-gap,5,225
The neighbors found out what her mother heard the newspaper reported the mayor said the young woman bought for her parents.,The neighbors found out that her mother heard the newspaper reported the mayor said the young woman bought for her parents.,fgd-embed3,what_gap,that_gap,5,226
My friend knows that the judge thought the cop said the man testified the successful architect handed an award for her mother.,My friend knows what the judge thought the cop said the man testified the successful architect handed an award for her mother.,fgd-embed3,that_no-gap,what_no-gap,6,227
My friend knows what the judge thought the cop said the man testified the successful architect handed for her mother.,My friend knows that the judge thought the cop said the man testified the successful architect handed for her mother.,fgd-embed3,what_gap,that_gap,6,228
The commissioner discovered that the report stated the television host thought the man reported the police detective lent some money to the man.,The commissioner discovered what the report stated the television host thought the man reported the police detective lent some money to the man.,fgd-embed3,that_no-gap,what_no-gap,7,229
The commissioner discovered what the report stated the television host thought the man reported the police detective lent to the man.,The commissioner discovered that the report stated the television host thought the man reported the police detective lent to the man.,fgd-embed3,what_gap,that_gap,7,230
We all know that the accountant said his colleague recalled the partners knew the investor repaid his debt to the criminal kingpin.,We all know what the accountant said his colleague recalled the partners knew the investor repaid his debt to the criminal kingpin.,fgd-embed3,that_no-gap,what_no-gap,8,231
We all know what the accountant said his colleague recalled the partners knew the investor repaid to the criminal kingpin.,We all know that the accountant said his colleague recalled the partners knew the investor repaid to the criminal kingpin.,fgd-embed3,what_gap,that_gap,8,232
